Date,concert,cinema,museum,book,theater,Country
2004-01-01,2,38,4,7,1,South Korea
2004-02-01,1,32,4,7,1,South Korea
2004-03-01,2,25,3,6,2,South Korea
2004-04-01,1,29,4,7,2,South Korea
2004-05-01,1,31,5,5,2,South Korea
2004-06-01,2,29,5,5,2,South Korea
2004-07-01,1,33,5,5,2,South Korea
2004-08-01,3,31,7,5,2,South Korea
2004-09-01,2,27,6,5,2,South Korea
2004-10-01,2,26,7,4,2,South Korea
2004-11-01,2,27,5,6,2,South Korea
2004-12-01,4,31,4,6,3,South Korea
2005-01-01,2,25,4,6,0,South Korea
2005-02-01,2,26,3,6,1,South Korea
2005-03-01,1,23,4,6,2,South Korea
2005-04-01,2,25,6,7,2,South Korea
2005-05-01,1,25,5,6,1,South Korea
2005-06-01,2,24,5,6,2,South Korea
2005-07-01,1,25,6,5,2,South Korea
2005-08-01,2,26,6,6,1,South Korea
2005-09-01,1,22,5,5,1,South Korea
2005-10-01,1,22,7,6,2,South Korea
2005-11-01,2,23,7,6,2,South Korea
2005-12-01,2,23,5,5,2,South Korea
2006-01-01,1,22,6,6,1,South Korea
2006-02-01,1,17,5,5,1,South Korea
2006-03-01,1,18,5,6,2,South Korea
2006-04-01,1,20,5,6,2,South Korea
2006-05-01,1,19,5,6,2,South Korea
2006-06-01,1,19,5,5,1,South Korea
2006-07-01,1,20,5,5,1,South Korea
2006-08-01,1,18,6,5,1,South Korea
2006-09-01,1,16,6,6,1,South Korea
2006-10-01,1,19,6,5,1,South Korea
2006-11-01,1,18,5,6,2,South Korea
2006-12-01,2,20,6,5,1,South Korea
2007-01-01,1,16,5,6,1,South Korea
2007-02-01,1,16,5,5,1,South Korea
2007-03-01,1,17,4,5,1,South Korea
2007-04-01,1,16,4,5,1,South Korea
2007-05-01,1,20,5,5,1,South Korea
2007-06-01,1,20,4,5,1,South Korea
2007-07-01,1,19,5,4,1,South Korea
2007-08-01,1,19,5,5,1,South Korea
2007-09-01,1,18,6,4,1,South Korea
2007-10-01,1,17,5,5,1,South Korea
2007-11-01,1,18,4,5,1,South Korea
2007-12-01,1,20,4,5,1,South Korea
2008-01-01,1,19,4,5,<1,South Korea
2008-02-01,1,18,4,5,1,South Korea
2008-03-01,1,16,3,5,1,South Korea
2008-04-01,1,17,4,5,1,South Korea
2008-05-01,1,18,4,5,1,South Korea
2008-06-01,1,19,3,5,1,South Korea
2008-07-01,1,20,4,4,1,South Korea
2008-08-01,1,20,4,5,1,South Korea
2008-09-01,1,18,4,5,1,South Korea
2008-10-01,1,17,5,5,1,South Korea
2008-11-01,1,17,3,5,1,South Korea
2008-12-01,2,18,3,4,1,South Korea
2009-01-01,1,19,3,4,1,South Korea
2009-02-01,1,16,3,5,1,South Korea
2009-03-01,1,14,3,5,1,South Korea
2009-04-01,1,15,4,5,1,South Korea
2009-05-01,1,18,4,5,1,South Korea
2009-06-01,1,15,4,4,1,South Korea
2009-07-01,1,15,4,4,1,South Korea
2009-08-01,2,15,4,4,1,South Korea
2009-09-01,2,15,4,6,2,South Korea
2009-10-01,2,15,4,6,1,South Korea
2009-11-01,2,16,4,5,2,South Korea
