Year (N),ISO,Rank N,Score N
2005,SWE,12,2
2005,DEU,18,4
2005,CAN,21,"4,5"
2005,GBR,24,"5,17"
2005,KOR,34,"7,5"
2005,JPN,37,8
2005,POL,53,"12,5"
2005,BRA,63,"14,5"
2005,JOR,96,24
2005,TUR,98,25
2005,MYS,113,33
2006,SWE,15,4
2006,CAN,18,"4,5"
2006,DEU,23,"5,5"
2006,GBR,28,"6,5"
2006,KOR,31,"7,75"
2006,JPN,51,"12,5"
2006,POL,60,14
2006,BRA,75,"17,17"
2006,MYS,92,"22,25"
2006,TUR,100,25
2006,JOR,110,"27,5"
2007,SWE,5,"1,5"
2007,CAN,18,"4,88"
2007,DEU,20,"5,75"
2007,GBR,24,"8,25"
2007,JPN,37,"11,75"
2007,KOR,39,"12,13"
2007,POL,56,"18,5"
2007,BRA,84,"25,25"
2007,TUR,101,"31,25"
2007,JOR,122,"40,21"
2007,MYS,124,41
2008,SWE,7,3
2008,CAN,13,"3,33"
2008,DEU,20,"4,5"
2008,GBR,23,"5,5"
2008,JPN,29,"6,5"
2008,KOR,47,9
2008,POL,47,9
2008,BRA,82,18
2008,TUR,102,"22,75"
2008,JOR,128,36
2008,MYS,132,"39,5"
2009,SWE,1,0
2009,JPN,17,"3,25"
2009,DEU,18,"3,5"
2009,CAN,19,"3,7"
2009,GBR,20,4
2009,POL,37,"9,5"
2009,KOR,69,"15,66666667"
2009,BRA,71,"15,875"
2009,JOR,112,"31,875"
2009,TUR,122,"38,25"
2009,MYS,131,"44,25"
2010,SWE,5,0
2010,JPN,12,"2,5"
2010,DEU,17,"4,25"
2010,GBR,19,6
2010,CAN,21,7
2010,POL,32,"8,88"
2010,KOR,42,"13,33"
2010,BRA,58,"16,6"
2010,JOR,120,37
2010,TUR,138,"49,25"
2010,MYS,141,"50,75"
2011-12,CAN,10,"-5,67"
2011-12,SWE,12,"-5,5"
2011-12,DEU,18,-3
2011-12,JPN,22,-1
2011-12,POL,24,"-0,67"
2011-12,GBR,28,2
2011-12,KOR,44,"12,67"
2011-12,BRA,99,"35,33"
2011-12,MYS,124,56
2011-12,JOR,128,"56,8"
2011-12,TUR,148,70
2013,SWE,10,"90,77"
2013,DEU,17,"89,76"
2013,CAN,20,"87,31"
2013,POL,22,"86,89"
2013,GBR,29,"83,11"
2013,KOR,50,"75,52"
2013,JPN,53,"74,83"
2013,BRA,108,"67,25"
2013,JOR,134,"61,53"
2013,MYS,145,"57,27"
2013,TUR,154,"53,44"
2014,SWE,10,"91,02"
2014,DEU,14,"89,77"
2014,CAN,18,"89,01"
2014,POL,19,"88,97"
2014,GBR,33,"80,07"
2014,KOR,57,"74,34"
2014,JPN,59,"73,98"
2014,BRA,111,"65,97"
2014,JOR,141,"59,58"
2014,MYS,147,"57,27"
2014,TUR,154,"54,13"
2015,SWE,5,"90,53"
2015,CAN,8,"89,01"
2015,DEU,12,"88,53"
2015,POL,18,"87,29"
2015,GBR,34,80
2015,KOR,60,"73,45"
2015,JPN,61,"73,05"
2015,BRA,99,"68,07"
2015,JOR,143,"57,93"
2015,MYS,147,"56,71"
2015,TUR,149,"55,84"
2016,SWE,8,"87,67"
2016,DEU,16,"85,2"
2016,CAN,18,"84,74"
2016,GBR,38,"78,3"
2016,POL,47,"76,11"
2016,KOR,70,"71,42"
2016,JPN,72,"71,33"
2016,BRA,104,"67,38"
2016,JOR,135,"55,51"
2016,MYS,146,"53,43"
2016,TUR,151,"49,24"
2017,SWE,2,"91,73"
2017,DEU,16,"85,03"
2017,CAN,22,"83,47"
2017,GBR,40,"77,74"
