Country,Year,Score
Brazil,2004,33.3333333333333
Brazil,2005,30.7666666666667
Brazil,2006,28.1333333333333
Brazil,2007,25.7333333333333
Brazil,2008,25.7166666666667
Brazil,2009,27.3666666666667
Brazil,2010,27.6
Brazil,2011,25.2833333333333
Brazil,2012,24.4666666666667
Brazil,2013,24.55
Brazil,2014,25.7833333333333
Brazil,2015,27.8
Brazil,2016,26.6666666666667
Brazil,2017,26.65
Brazil,2018,25.5333333333333
Brazil,2019,26.25
Brazil,2020,16.5666666666667
Brazil,2021,16.8666666666667
Brazil,2022,21.4333333333333
Brazil,2023,23.35
Brazil,2024,23.6833333333333
Brazil,2025,22.04
Canada,2004,36.9166666666667
Canada,2005,38.4333333333333
Canada,2006,35
Canada,2007,34.8333333333333
Canada,2008,34.25
Canada,2009,34.2666666666667
Canada,2010,30.9
Canada,2011,33
Canada,2012,30.9166666666667
Canada,2013,30.3333333333333
Canada,2014,29
Canada,2015,30.1
Canada,2016,30.0833333333333
Canada,2017,29.9
Canada,2018,28.2166666666667
Canada,2019,28.25
Canada,2020,19.3166666666667
Canada,2021,20.8166666666667
Canada,2022,29.3333333333333
Canada,2023,32.3833333333333
Canada,2024,32.0333333333333
Canada,2025,29.28
Germany,2004,32.9
Germany,2005,31.8333333333333
Germany,2006,32.4666666666667
Germany,2007,31.45
Germany,2008,30.2666666666667
Germany,2009,30.6833333333333
Germany,2010,27.5
Germany,2011,32.45
Germany,2012,31.6666666666667
Germany,2013,30.4666666666667
Germany,2014,29.1833333333333
Germany,2015,31.8
Germany,2016,29.5833333333333
Germany,2017,30.9666666666667
Germany,2018,29.3833333333333
Germany,2019,31.8833333333333
Germany,2020,19.7666666666667
Germany,2021,19.3833333333333
Germany,2022,28.2166666666667
Germany,2023,32.2
Germany,2024,31.75
Germany,2025,29.2
Japan,2004,46.3833333333333
Japan,2005,43.0666666666667
Japan,2006,41.2
Japan,2007,43.5666666666667
Japan,2008,41.8333333333333
Japan,2009,42.5166666666667
Japan,2010,44.6166666666667
Japan,2011,45.4166666666667
Japan,2012,44.4833333333333
Japan,2013,41.6666666666667
Japan,2014,40.1166666666667
Japan,2015,40.1666666666667
Japan,2016,36.6166666666667
Japan,2017,36.7333333333333
Japan,2018,35.6
Japan,2019,38.6
Japan,2020,27.95
Japan,2021,28.4666666666667
Japan,2022,35.6833333333333
Japan,2023,37
Japan,2024,34.55
Japan,2025,35.48
Jordan,2004,6.56666666666667
Jordan,2005,7.26666666666667
Jordan,2006,6.93333333333333
Jordan,2007,8.61666666666667
Jordan,2008,9.31666666666667
Jordan,2009,9.35
Jordan,2010,8.75
Jordan,2011,7.38333333333333
Jordan,2012,6.7
Jordan,2013,6.78333333333333
Jordan,2014,7.23333333333333
Jordan,2015,8.06666666666667
Jordan,2016,9.95
Jordan,2017,9.95
Jordan,2018,10.0833333333333
Jordan,2019,10.3166666666667
Jordan,2020,10.2166666666667
Jordan,2021,11.4333333333333
Jordan,2022,14.75
