Country,Year,Score
Turkey,2005,9.53355340023232
Turkey,2006,9.350061475877958
Turkey,2007,10.082565476898095
Turkey,2008,10.169198861552086
Turkey,2009,11.285496539029602
Turkey,2010,11.24192440272916
Turkey,2011,11.261744768842185
Turkey,2012,11.173688913658678
Turkey,2013,10.965440182609697
Turkey,2014,11.31859019837285
Turkey,2015,12.007553163327538
Turkey,2016,12.578934604548957
Turkey,2017,12.658036867979229
Turkey,2018,12.986909322194858
Turkey,2019,11.922727519497316
Turkey,2020,12.263536173477373
Turkey,2021,12.41462343302899
Turkey,2022,11.693313622941897
Turkey,2023,11.731009329626538
Turkey,2024,11.84911356115126
Germany,2005,33.13002434874278
Germany,2006,32.9026300356231
Germany,2007,31.66998360830668
Germany,2008,32.97623533102474
Germany,2009,34.966198490013475
Germany,2010,35.82875149245919
Germany,2011,36.072789775466774
Germany,2012,35.83907166478418
Germany,2013,35.30140565505027
Germany,2014,35.235719787646325
Germany,2015,35.18138199960456
Germany,2016,33.874675921496376
Germany,2017,33.90241997299819
Germany,2018,33.56541146789942
Germany,2019,30.685517855966488
Germany,2020,30.626375809312915
Germany,2021,30.61095382161211
Germany,2022,29.751672636912062
Germany,2023,29.613056698005963
Germany,2024,29.68555089637104
Japan,2005,35.23555918644686
Japan,2006,35.39131578912788
Japan,2007,34.21928422322689
Japan,2008,34.42806388083764
Japan,2009,34.953660297723204
Japan,2010,35.2842098459857
Japan,2011,35.680270563695686
Japan,2012,34.46972443942557
Japan,2013,35.03731003191287
Japan,2014,35.11661364269705
Japan,2015,33.6386028342686
Japan,2016,31.326826567628718
Japan,2017,31.045958705642718
Japan,2018,30.644819614762625
Japan,2019,27.336409886819542
Japan,2020,27.744057769459523
Japan,2021,27.767412945211536
Japan,2022,27.578971659692627
Japan,2023,27.44550219763507
Japan,2024,27.53451732768454
Brazil,2005,14.370139163602765
Brazil,2006,14.039714328059633
Brazil,2007,14.23041504931284
Brazil,2008,14.765425071018
Brazil,2009,15.096025178694354
Brazil,2010,15.653094398415853
Brazil,2011,15.491823471602324
Brazil,2012,14.996800215740485
Brazil,2013,15.440151996886721
Brazil,2014,15.929078083068546
Brazil,2015,16.499207217342164
Brazil,2016,15.366109024900805
Brazil,2017,14.031358932727027
Brazil,2018,14.106056454253558
Brazil,2019,13.081152601430933
Brazil,2020,12.78920875314186
Brazil,2021,12.908146672156853
Brazil,2022,12.569878537785742
Brazil,2023,12.493506589768359
Brazil,2024,12.496968951167876
Poland,2005,10.299725282995453
Poland,2006,10.150836414619658
Poland,2007,9.9671020736393
Poland,2008,10.337091041175642
Poland,2009,11.03942870215136
Poland,2010,11.612309814856957
Poland,2011,11.868939281340005
Poland,2012,12.617401972630464
Poland,2013,12.492227790883863
Poland,2014,13.014313585204388
Poland,2015,13.26088373107965
Poland,2016,12.603377937629828
Poland,2017,12.832863910916915
Poland,2018,13.624158875206714
Poland,2019,12.957819122883063
Poland,2020,13.337261165557756
Poland,2021,13.518536548675552
Poland,2022,13.192700864462427
Poland,2023,13.178991631702043
Poland,2024,13.179926843649863
United Kingdom,2005,28.171251733536376
United Kingdom,2006,28.139776006682922
United Kingdom,2007,27.6679405047899
United Kingdom,2008,27.73072546559509
United Kingdom,2009,28.867669402287575
United Kingdom,2010,29.05881349436214
United Kingdom,2011,28.9901988280267
United Kingdom,2012,27.890205343336333
United Kingdom,2013,28.106151317128106
United Kingdom,2014,32.62059190990943
United Kingdom,2015,32.38795915771598
United Kingdom,2016,31.629943534443527
United Kingdom,2017,31.162938670537006
United Kingdom,2018,32.99769488406426
United Kingdom,2019,30.02246461447259
United Kingdom,2020,31.60281354908401
United Kingdom,2021,31.351508414644996
United Kingdom,2022,30.225979460349983
United Kingdom,2023,30.137045871833855
United Kingdom,2024,30.233778485514165
Canada,2005,28.258028769793135
Canada,2006,27.71349520937773
Canada,2007,26.46157152044068
Canada,2008,26.3424811572485
Canada,2009,27.51993955755399
Canada,2010,27.34880999982129
Canada,2011,26.86274788369883
Canada,2012,26.125308049621275
Canada,2013,25.450605477563876
Canada,2014,25.353828316498614
Canada,2015,24.967101879796438
Canada,2016,24.332688519511088
Canada,2017,23.69373676926202
Canada,2018,23.55294539768469
Canada,2019,21.827035519458224
Canada,2020,22.79323821770754
Canada,2021,22.314068612348372
Canada,2022,20.952173733195792
Canada,2023,20.66528713593243
Canada,2024,20.47241231402467
Jordan,2005,5.5542507720479275
Jordan,2006,5.910559625583482
Jordan,2007,5.574920519145546
Jordan,2008,5.548080491898045
Jordan,2009,6.038856995642526
Jordan,2010,6.053717358215705
Jordan,2011,6.288118405237093
Jordan,2012,6.075689419629399
Jordan,2013,7.61467230772514
Jordan,2014,8.036117971813228
Jordan,2015,8.194785967655964
Jordan,2016,7.003864072090628
Jordan,2017,7.5647496383203485
Jordan,2018,7.1938606948573245
Jordan,2019,6.420348650299123
Jordan,2020,6.507120020403441
Jordan,2021,6.411338303058188
Jordan,2022,6.201375398630302
Jordan,2023,6.095914659064833
Jordan,2024,6.01946948905803
Sweden,2005,35.87790031907967
Sweden,2006,36.04562351838384
Sweden,2007,32.63850063684241
Sweden,2008,34.55790326549997
Sweden,2009,35.263277700724416
Sweden,2010,34.62513521826529
Sweden,2011,34.296757314982194
Sweden,2012,33.63563735985545
Sweden,2013,33.61574613399471
Sweden,2014,32.023706680909356
Sweden,2015,32.31616702013157
Sweden,2016,30.992040321883614
Sweden,2017,30.938880247248747
Sweden,2018,29.883696102044013
Sweden,2019,26.787190343056935
Sweden,2020,27.385248802074145
Sweden,2021,26.77605944867132
Sweden,2022,25.88730314701849
Sweden,2023,25.718924300113457
Sweden,2024,25.637197148198737
South Korea,2005,27.219146872824727
South Korea,2006,28.219208427154705
South Korea,2007,28.009870089552336
South Korea,2008,29.117726811018017
South Korea,2009,31.483279998748714
South Korea,2010,33.93838918706765
South Korea,2011,35.63312926590765
South Korea,2012,36.62335955907364
South Korea,2013,37.10348948985421
South Korea,2014,37.432237004039266
South Korea,2015,36.13938602478372
South Korea,2016,34.40311945192727
South Korea,2017,35.50118836389976
South Korea,2018,35.914735720431345
South Korea,2019,31.946386223709993
South Korea,2020,33.097415995974224
South Korea,2021,33.65331236049107
South Korea,2022,33.983375353906595
South Korea,2023,34.251838307652676
South Korea,2024,34.94292350192172
Malaysia,2005,9.320448892832843
Malaysia,2006,8.903492325654387
Malaysia,2007,9.081667879864668
Malaysia,2008,9.934339700851783
Malaysia,2009,11.97592938730011
Malaysia,2010,12.38085164720316
Malaysia,2011,12.394545376113248
Malaysia,2012,12.417578204610159
Malaysia,2013,12.796549615730168
Malaysia,2014,13.607606634755886
Malaysia,2015,13.577699870832308
Malaysia,2016,13.87619246516572
Malaysia,2017,13.159430952566494
Malaysia,2018,10.944140265002538
Malaysia,2019,10.664644706191707
Malaysia,2020,9.390035529722724
Malaysia,2021,9.849612858736306
Malaysia,2022,9.784270515754656
