Kategori: Tüm kategoriler

Ay,concerto: (Brezilya),cinema: (Brezilya),museu: (Brezilya),livro: (Brezilya),teatro: (Brezilya)
2004-01,1,50,13,58,28
2004-02,2,43,12,65,26
2004-03,1,44,16,82,34
2004-04,1,43,15,100,36
2004-05,2,50,16,90,36
2004-06,1,43,14,85,33
2004-07,2,50,13,55,33
2004-08,1,37,14,79,33
2004-09,1,39,16,89,32
2004-10,1,41,15,82,30
2004-11,1,38,14,90,29
2004-12,2,36,11,55,21
2005-01,1,45,11,48,24
2005-02,1,36,12,58,24
2005-03,2,33,14,82,28
2005-04,1,35,15,90,35
2005-05,1,40,14,92,31
2005-06,2,33,14,88,30
2005-07,2,45,12,58,32
2005-08,1,32,13,79,31
2005-09,1,33,15,80,31
2005-10,1,39,12,74,28
2005-11,2,39,12,83,27
2005-12,1,37,8,57,21
2006-01,1,40,9,48,22
2006-02,1,33,10,58,22
2006-03,2,35,14,84,31
2006-04,1,37,15,80,31
2006-05,1,40,14,76,30
2006-06,1,35,12,75,23
2006-07,1,46,13,51,30
2006-08,1,32,12,68,30
2006-09,1,34,12,67,30
2006-10,1,34,11,62,29
2006-11,1,36,11,67,29
2006-12,1,29,8,43,17
2007-01,1,36,11,37,24
2007-02,1,34,10,48,22
2007-03,1,32,10,61,31
2007-04,1,35,12,65,29
2007-05,1,36,11,63,30
2007-06,1,34,9,68,29
2007-07,1,40,9,54,28
2007-08,1,30,9,63,28
2007-09,1,29,10,71,28
2007-10,1,32,9,60,27
2007-11,1,31,9,64,26
2007-12,1,31,7,44,16
2008-01,1,39,8,44,18
2008-02,1,34,7,55,22
2008-03,1,30,9,65,27
2008-04,1,30,10,71,29
2008-05,1,31,9,68,29
2008-06,1,32,9,71,29
2008-07,1,40,9,47,27
2008-08,1,29,8,70,27
2008-09,1,28,9,66,28
2008-10,1,30,11,61,25
2008-11,1,29,8,69,25
2008-12,1,34,6,53,16
2009-01,1,46,8,49,20
2009-02,1,35,6,59,17
2009-03,1,30,8,73,25
2009-04,1,38,10,80,26
2009-05,1,35,14,77,27
2009-06,1,32,11,73,25
2009-07,1,49,9,57,24
2009-08,1,28,9,67,24
2009-09,1,27,9,77,25
2009-10,1,31,8,69,24
2009-11,1,45,7,78,23
2009-12,1,40,5,57,14
2010-01,2,56,6,53,17
2010-02,1,37,6,61,18
2010-03,2,33,8,73,23
2010-04,2,43,9,78,24
2010-05,2,40,8,73,25
2010-06,1,35,7,69,19
2010-07,1,53,7,58,22
2010-08,1,36,6,78,23
2010-09,1,40,8,75,22
2010-10,1,51,6,66,24
2010-11,1,40,6,70,23
2010-12,1,35,4,52,14
2011-01,2,47,5,48,16
2011-02,2,37,5,60,15
2011-03,1,38,6,65,18
2011-04,1,40,6,69,20
2011-05,1,40,6,70,20
2011-06,1,40,6,65,19
2011-07,2,60,6,50,20
2011-08,1,41,6,64,20
2011-09,1,34,6,68,21
2011-10,1,36,5,57,20
2011-11,1,41,5,63,18
2011-12,1,36,4,48,12
2012-01,1,44,5,44,15
2012-02,1,36,5,52,14
2012-03,1,32,6,62,20
2012-04,1,44,6,66,20
2012-05,1,40,6,63,19
2012-06,1,41,6,56,18
2012-07,1,52,6,49,18
2012-08,1,33,6,66,19
2012-09,1,39,6,62,19
2012-10,1,39,6,59,16
2012-11,1,51,5,63,16
2012-12,1,39,4,52,11
2013-01,1,49,5,50,12
2013-02,1,37,5,56,12
2013-03,1,37,6,63,18
2013-04,1,35,5,70,18
2013-05,1,43,6,61,17
2013-06,1,44,5,62,15
2013-07,1,58,6,52,15
2013-08,1,39,5,67,16
2013-09,1,36,5,68,16
2013-10,1,37,5,61,15
2013-11,1,38,5,66,14
2013-12,1,38,4,54,10
2014-01,1,46,5,51,11
2014-02,1,36,4,61,12
2014-03,1,45,5,65,15
2014-04,1,47,6,66,16
2014-05,1,43,6,68,17
2014-06,1,54,5,57,12
2014-07,1,53,7,60,16
2014-08,1,42,6,71,17
2014-09,1,39,6,70,17
2014-10,1,44,6,63,14
2014-11,1,46,5,70,15
2014-12,1,46,5,53,11
2015-01,1,55,7,50,12
2015-02,1,66,5,66,12
2015-03,1,46,6,72,16
2015-04,1,65,6,77,15
2015-05,1,45,6,74,15
2015-06,1,52,6,71,15
2015-07,1,67,6,59,15
2015-08,1,42,5,72,15
2015-09,1,41,6,74,15
2015-10,1,47,6,64,14
2015-11,1,42,6,68,14
2015-12,1,47,8,54,9
2016-01,1,63,7,53,10
2016-02,1,57,5,63,11
2016-03,1,52,5,67,13
2016-04,1,49,6,72,13
2016-05,1,50,6,69,14
2016-06,1,54,6,70,12
2016-07,1,69,7,56,13
2016-08,1,43,7,60,11
2016-09,1,39,6,68,14
2016-10,1,45,6,61,14
2016-11,1,41,6,67,12
2016-12,1,49,5,54,8
2017-01,1,67,7,51,10
