Kategori: Tüm kategoriler

Ay,Concert: (Kanada),Cinéma: (Kanada),Musée: (Kanada),Livre: (Kanada),Théâtre: (Kanada)
2004-01,51,55,20,32,16
2004-02,59,52,26,31,22
2004-03,62,64,24,29,20
2004-04,59,55,21,34,18
2004-05,59,57,21,28,18
2004-06,60,55,17,19,13
2004-07,72,72,17,18,18
2004-08,67,61,18,21,16
2004-09,64,44,19,27,21
2004-10,59,57,18,35,18
2004-11,62,57,19,47,21
2004-12,54,56,15,31,14
2005-01,65,62,17,28,16
2005-02,62,50,22,27,16
2005-03,69,59,21,29,15
2005-04,65,51,21,34,14
2005-05,75,63,26,29,16
2005-06,83,56,18,21,12
2005-07,79,70,17,20,13
2005-08,75,65,16,21,13
2005-09,81,49,16,27,17
2005-10,62,63,16,33,15
2005-11,67,71,15,48,15
2005-12,58,63,15,31,13
2006-01,54,68,18,27,13
2006-02,54,59,20,27,14
2006-03,59,51,21,30,13
2006-04,58,53,18,33,14
2006-05,67,58,19,26,16
2006-06,60,55,14,19,11
2006-07,64,66,16,18,12
2006-08,68,65,15,19,12
2006-09,65,51,17,28,14
2006-10,55,55,17,31,14
2006-11,58,50,16,43,16
2006-12,50,59,14,29,14
2007-01,47,58,17,25,12
2007-02,52,53,16,27,14
2007-03,51,60,22,29,12
2007-04,55,57,22,33,13
2007-05,56,51,23,26,12
2007-06,64,49,19,22,10
2007-07,95,89,21,21,10
2007-08,56,71,19,22,12
2007-09,66,45,17,29,14
2007-10,59,41,15,31,12
2007-11,63,41,14,42,14
2007-12,56,51,12,34,11
2008-01,47,57,15,28,10
2008-02,59,56,17,31,11
2008-03,67,54,17,30,11
2008-04,60,39,16,31,12
2008-05,64,47,18,27,11
2008-06,64,50,19,23,9
2008-07,78,72,20,21,10
2008-08,68,61,18,22,9
2008-09,66,41,17,29,13
2008-10,58,42,17,32,12
2008-11,53,53,14,46,13
2008-12,57,57,11,35,10
2009-01,49,60,13,28,9
2009-02,49,54,14,31,9
2009-03,71,56,16,29,10
2009-04,68,41,17,32,10
2009-05,64,45,19,27,11
2009-06,71,45,17,27,9
2009-07,83,71,20,23,9
2009-08,88,51,14,24,9
2009-09,76,33,12,28,9
2009-10,76,39,13,30,10
2009-11,69,51,13,43,11
2009-12,52,48,10,31,9
2010-01,55,52,11,27,8
2010-02,57,44,15,27,9
2010-03,65,43,20,27,10
2010-04,64,32,17,30,9
2010-05,68,32,16,27,9
2010-06,78,43,13,23,8
2010-07,82,54,14,21,8
2010-08,73,49,14,21,8
2010-09,61,33,12,28,9
2010-10,50,35,12,28,9
2010-11,54,37,12,43,10
2010-12,48,41,10,31,8
2011-01,42,53,12,34,9
2011-02,54,50,15,32,9
2011-03,51,51,16,32,9
2011-04,49,44,14,33,10
2011-05,58,47,15,32,9
2011-06,66,51,16,25,8
2011-07,78,66,16,22,9
2011-08,63,66,16,28,9
2011-09,55,44,14,35,9
2011-10,50,45,14,37,10
