Kategori: Tüm kategoriler

Ay,حفلة موسيقية: (Mısır),سينما: (Mısır),متحف: (Mısır),كتاب: (Mısır),مسرح: (Mısır)
2004-01,0,0,0,19,0
2004-02,0,0,0,22,0
2004-03,0,0,0,25,0
2004-04,0,0,6,21,0
2004-05,0,0,0,19,0
2004-06,0,4,0,22,0
2004-07,0,4,0,18,0
2004-08,0,3,0,23,0
2004-09,0,4,0,23,0
2004-10,0,0,0,25,0
2004-11,0,3,0,32,0
2004-12,0,8,0,26,0
2005-01,0,12,0,20,0
2005-02,0,10,3,21,0
2005-03,0,8,6,23,0
2005-04,0,7,4,25,0
2005-05,0,8,3,22,0
2005-06,0,10,2,23,0
2005-07,0,8,2,19,0
2005-08,0,9,0,21,0
2005-09,0,8,0,26,2
2005-10,0,7,4,33,0
2005-11,0,6,2,31,0
2005-12,0,8,3,28,0
2006-01,0,8,1,23,1
2006-02,0,6,2,29,1
2006-03,0,6,4,28,1
2006-04,0,6,3,32,1
2006-05,0,8,2,28,0
2006-06,0,9,1,19,0
2006-07,0,8,1,18,0
2006-08,0,8,1,21,0
2006-09,0,8,1,23,0
2006-10,0,6,2,32,0
2006-11,0,7,2,31,1
2006-12,0,8,2,23,1
2007-01,0,8,1,25,0
2007-02,0,8,2,28,1
2007-03,0,6,3,27,1
2007-04,0,6,2,28,1
2007-05,0,6,2,27,1
2007-06,0,7,1,25,<1
2007-07,0,8,1,22,1
2007-08,0,8,1,26,1
2007-09,0,6,1,35,1
2007-10,0,6,2,37,1
2007-11,0,7,2,39,1
2007-12,0,8,2,34,1
2008-01,0,8,1,30,1
2008-02,0,7,2,37,1
2008-03,0,6,3,36,1
2008-04,0,6,2,37,1
2008-05,0,6,1,32,1
2008-06,0,9,1,25,1
2008-07,0,9,1,25,1
2008-08,0,10,1,28,1
2008-09,0,7,1,34,1
2008-10,0,7,1,41,1
2008-11,0,6,2,40,1
2008-12,0,9,1,33,1
2009-01,0,9,1,32,1
2009-02,0,9,1,36,1
2009-03,0,7,3,46,1
2009-04,0,8,2,40,1
2009-05,0,9,1,36,1
2009-06,0,13,1,26,1
2009-07,0,11,1,27,1
2009-08,0,8,1,33,1
2009-09,0,7,1,35,1
2009-10,0,8,1,44,1
2009-11,0,9,1,40,1
2009-12,0,11,1,41,1
2010-01,0,11,1,34,1
2010-02,0,12,1,39,1
2010-03,0,10,4,43,1
2010-04,0,12,3,41,1
2010-05,0,14,2,37,1
2010-06,0,15,1,27,1
2010-07,0,14,1,33,1
2010-08,0,12,1,36,1
2010-09,0,13,1,42,1
2010-10,0,12,1,46,1
2010-11,0,15,1,39,1
2010-12,0,14,1,38,1
2011-01,0,12,1,31,<1
2011-02,0,11,1,26,<1
2011-03,0,10,1,32,1
2011-04,0,11,1,33,1
2011-05,0,11,1,31,1
2011-06,0,11,1,26,1
2011-07,0,10,1,23,1
2011-08,0,9,<1,26,<1
2011-09,0,9,1,30,1
2011-10,0,11,1,35,1
2011-11,0,14,1,29,1
2011-12,0,15,1,31,1
2012-01,0,14,1,28,1
2012-02,0,11,1,30,1
2012-03,0,10,1,34,1
2012-04,0,9,1,32,1
2012-05,0,9,1,26,1
2012-06,0,10,1,23,1
2012-07,0,10,1,26,1
2012-08,0,10,1,27,1
2012-09,0,9,1,34,3
2012-10,0,12,1,35,2
2012-11,0,12,1,37,2
2012-12,0,11,1,32,1
2013-01,0,13,1,32,1
2013-02,0,12,1,36,1
2013-03,0,11,1,35,1
2013-04,0,10,1,36,1
2013-05,0,14,1,30,1
2013-06,0,14,1,26,1
2013-07,<1,12,<1,22,1
2013-08,0,14,1,26,1
2013-09,0,12,1,33,1
2013-10,0,13,1,35,1
2013-11,<1,11,1,35,1
2013-12,0,11,1,35,1
2014-01,0,11,1,30,1
2014-02,0,11,1,31,1
2014-03,0,10,1,33,1
2014-04,0,11,1,31,1
2014-05,0,12,1,26,1
2014-06,0,10,1,24,1
2014-07,0,17,1,24,1
2014-08,0,18,1,30,1
2014-09,0,14,1,32,1
2014-10,0,21,1,35,1
2014-11,0,15,1,40,1
2014-12,0,13,1,35,1
2015-01,0,13,1,33,1
2015-02,0,12,4,37,1
2015-03,0,12,1,35,1
2015-04,0,15,1,34,1
2015-05,0,11,1,29,1
2015-06,0,12,1,27,1
2015-07,0,18,1,25,2
2015-08,0,12,1,30,8
2015-09,0,15,1,30,53
2015-10,0,14,1,35,72
2015-11,0,13,1,35,84
2015-12,0,14,1,37,88
2016-01,0,15,1,37,100
2016-02,0,15,3,37,95
2016-03,0,14,2,42,61
2016-04,0,17,1,37,46
2016-05,0,15,1,33,41
2016-06,0,21,1,28,30
2016-07,0,23,1,25,23
2016-08,0,17,1,30,25
2016-09,0,23,1,34,90
2016-10,0,16,1,40,47
2016-11,0,15,1,38,56
2016-12,0,14,1,39,52
2017-01,0,19,1,36,60
2017-02,0,20,4,40,49
2017-03,0,19,2,43,40
2017-04,0,22,1,40,29
2017-05,0,15,1,33,27
2017-06,0,21,1,24,18
2017-07,0,19,1,26,18
2017-08,0,18,1,30,16
2017-09,0,23,1,33,14
