Kategori: Tüm kategoriler

Ay,concert: (Hindistan),cinema: (Hindistan),museum: (Hindistan),book: (Hindistan),theater: (Hindistan)
2004-01,2,16,2,50,3
2004-02,1,15,3,53,3
2004-03,1,14,3,51,2
2004-04,1,17,3,51,3
2004-05,1,16,3,48,3
2004-06,1,16,3,54,3
2004-07,1,14,3,52,3
2004-08,1,14,3,57,3
2004-09,1,13,3,57,2
2004-10,1,14,3,53,3
2004-11,1,16,3,50,3
2004-12,1,18,3,50,3
2005-01,2,16,3,54,2
2005-02,2,15,3,53,3
2005-03,1,15,3,56,2
2005-04,1,18,3,48,3
2005-05,1,18,3,47,3
2005-06,1,17,3,47,3
2005-07,1,17,2,53,2
2005-08,1,15,3,49,2
2005-09,1,16,2,48,3
2005-10,1,15,2,47,3
2005-11,1,16,2,42,3
2005-12,1,16,3,43,3
2006-01,2,15,2,46,2
2006-02,1,15,2,44,2
2006-03,1,14,2,42,2
2006-04,1,15,2,45,2
2006-05,1,20,2,43,3
2006-06,1,17,2,44,2
2006-07,1,16,2,50,2
2006-08,1,18,2,49,3
2006-09,1,20,2,49,3
2006-10,1,16,2,44,3
2006-11,1,17,2,45,2
2006-12,1,17,3,44,2
2007-01,1,16,3,46,2
2007-02,2,14,2,43,2
2007-03,2,14,2,44,2
2007-04,1,15,2,45,2
2007-05,1,17,2,45,2
2007-06,1,19,3,47,3
2007-07,1,16,2,55,3
2007-08,1,18,2,50,3
2007-09,1,14,2,52,2
2007-10,2,15,2,49,2
2007-11,2,18,2,48,3
2007-12,1,17,2,53,3
2008-01,1,14,2,53,2
2008-02,1,13,2,53,2
2008-03,1,13,2,51,2
2008-04,1,15,2,53,2
2008-05,1,13,2,53,2
2008-06,1,15,2,53,3
2008-07,1,17,2,57,3
2008-08,1,17,2,56,2
2008-09,1,13,2,58,2
2008-10,1,12,2,55,2
2008-11,1,14,2,56,3
2008-12,1,18,2,58,3
2009-01,1,14,2,59,3
2009-02,1,14,2,63,2
2009-03,1,11,2,59,2
2009-04,1,10,2,55,2
2009-05,1,10,2,52,2
2009-06,1,11,3,56,2
2009-07,1,16,3,64,2
2009-08,1,14,3,67,3
2009-09,1,13,2,65,2
2009-10,2,11,2,63,3
2009-11,1,15,2,66,3
2009-12,1,18,2,74,3
2010-01,2,16,2,70,3
2010-02,2,13,2,70,3
2010-03,1,10,2,64,2
2010-04,1,10,2,63,2
2010-05,1,12,2,68,2
2010-06,1,12,2,70,3
2010-07,1,12,2,70,2
2010-08,1,12,2,69,2
2010-09,1,14,2,72,3
2010-10,1,13,2,73,3
2010-11,1,12,2,71,2
2010-12,1,11,2,73,2
2011-01,2,11,2,75,2
2011-02,3,10,2,76,2
2011-03,1,9,2,63,2
2011-04,1,10,2,71,2
2011-05,1,12,2,72,2
2011-06,1,12,2,76,2
2011-07,1,15,2,82,3
2011-08,1,12,2,78,2
2011-09,1,11,2,75,2
2011-10,2,13,2,77,3
2011-11,2,11,2,76,2
2011-12,1,12,2,75,2
2012-01,1,11,2,74,2
2012-02,1,10,2,73,2
2012-03,1,10,1,67,2
2012-04,1,13,2,69,2
2012-05,1,12,2,71,2
2012-06,1,13,2,70,2
2012-07,1,16,1,75,3
2012-08,1,14,1,71,3
2012-09,1,13,1,73,2
2012-10,2,13,1,75,3
2012-11,1,14,2,74,3
2012-12,1,12,1,70,2
2013-01,1,11,1,71,3
2013-02,1,12,1,72,3
2013-03,1,10,1,70,2
2013-04,1,11,1,70,2
2013-05,1,12,1,68,2
2013-06,1,14,2,73,3
2013-07,1,13,1,71,3
2013-08,1,15,1,73,3
2013-09,1,14,1,72,3
2013-10,1,11,1,68,3
2013-11,1,13,1,70,3
2013-12,1,13,2,73,3
2014-01,1,12,1,70,3
2014-02,1,10,1,63,2
2014-03,1,11,1,64,2
2014-04,1,12,1,61,3
2014-05,1,11,1,58,2
2014-06,1,12,2,58,2
2014-07,1,12,2,59,2
2014-08,1,13,2,67,3
2014-09,1,12,2,62,3
2014-10,1,14,2,59,4
2014-11,1,12,2,58,3
2014-12,1,13,3,58,3
2015-01,1,12,3,57,3
2015-02,1,11,2,55,3
2015-03,1,9,2,50,2
2015-04,1,13,2,58,4
2015-05,1,13,2,53,3
2015-06,1,15,2,58,3
2015-07,1,17,2,62,3
2015-08,1,17,2,58,3
2015-09,1,16,2,56,3
2015-10,1,16,2,57,4
2015-11,1,15,2,56,4
2015-12,1,15,2,60,3
2016-01,1,13,2,58,3
2016-02,1,12,2,59,3
2016-03,1,12,2,56,3
2016-04,1,15,2,100,4
2016-05,1,13,2,67,3
2016-06,1,14,2,63,3
2016-07,1,15,2,63,4
2016-08,1,12,2,56,3
2016-09,1,12,2,55,3
2016-10,1,13,2,52,4
2016-11,1,13,2,50,3
2016-12,1,14,2,51,3
2017-01,1,15,2,57,3
2017-02,1,13,2,48,3
2017-03,1,13,2,49,3
2017-04,1,21,2,63,4
2017-05,3,24,2,59,4
2017-06,1,16,2,50,3
2017-07,1,16,2,53,3
2017-08,1,17,2,55,3
2017-09,1,17,2,59,4
2017-10,1,20,2,52,4
2017-11,1,16,2,46,3
2017-12,1,18,2,47,3
2018-01,1,16,2,50,3
2018-02,1,15,2,46,3
2018-03,1,16,2,49,3
2018-04,1,20,2,53,3
2018-05,1,21,2,49,3
2018-06,1,25,2,53,3
2018-07,<1,25,2,54,3
2018-08,1,28,2,50,3
2018-09,1,28,2,47,3
2018-10,1,28,2,48,3
2018-11,1,28,2,46,3
2018-12,1,30,2,48,3
2019-01,1,28,2,50,3
2019-02,1,25,2,44,3
2019-03,1,26,2,44,2
2019-04,<1,27,2,50,3
2019-05,<1,23,2,43,2
2019-06,<1,25,2,49,2
2019-07,1,24,2,53,3
2019-08,1,25,2,51,3
2019-09,1,21,2,54,3
2019-10,1,26,2,50,4
2019-11,1,20,2,48,3
2019-12,1,19,2,52,3
2020-01,1,18,2,57,4
2020-02,1,15,2,54,2
2020-03,<1,13,1,45,2
2020-04,1,11,1,54,1
2020-05,1,9,1,53,1
2020-06,1,9,1,49,1
2020-07,<1,8,1,52,1
2020-08,1,8,1,54,1
2020-09,1,7,1,53,1
2020-10,1,7,1,46,1
2020-11,1,7,2,45,1
2020-12,1,7,2,51,1
2021-01,<1,8,2,55,2
