Kategori: Tüm kategoriler

Ay,コンサート: (Japonya),映画館: (Japonya),博物館: (Japonya),書籍: (Japonya),劇場: (Japonya)
2004-01,28,42,64,36,62
2004-02,27,47,63,33,61
2004-03,28,46,67,34,60
2004-04,28,45,68,36,60
2004-05,30,53,73,35,63
2004-06,29,46,57,36,54
2004-07,31,57,68,29,56
2004-08,31,50,73,28,69
2004-09,29,47,61,32,62
2004-10,30,32,61,31,57
2004-11,29,42,58,30,58
2004-12,31,54,46,29,61
2005-01,28,43,53,32,59
2005-02,23,36,55,29,60
2005-03,26,36,56,27,58
2005-04,30,34,56,30,58
2005-05,30,39,61,30,61
2005-06,30,42,51,29,61
2005-07,33,54,56,27,62
2005-08,36,55,67,26,63
2005-09,32,49,55,27,61
2005-10,31,36,61,27,59
2005-11,31,37,57,26,54
2005-12,30,42,46,26,55
2006-01,27,40,53,26,59
2006-02,26,36,53,27,58
2006-03,25,40,53,24,53
2006-04,29,33,62,27,53
2006-05,26,46,73,27,53
2006-06,28,43,46,26,55
2006-07,29,50,58,23,52
2006-08,33,48,73,22,56
2006-09,33,34,56,23,59
2006-10,30,29,60,25,58
2006-11,29,33,56,25,57
2006-12,30,35,43,25,61
2007-01,27,36,53,28,65
2007-02,27,36,51,25,62
2007-03,28,36,55,24,63
2007-04,35,36,62,26,61
2007-05,29,39,64,25,61
2007-06,26,39,53,25,59
2007-07,30,43,60,27,65
2007-08,30,51,73,26,69
2007-09,31,44,64,23,81
2007-10,30,32,90,22,62
2007-11,27,31,68,26,57
2007-12,31,30,52,23,60
2008-01,28,28,64,24,64
2008-02,26,30,56,23,60
2008-03,25,30,59,24,62
2008-04,29,29,65,25,67
2008-05,30,32,71,23,64
2008-06,29,30,57,24,60
2008-07,27,41,64,22,60
2008-08,31,56,75,22,64
2008-09,38,43,59,22,62
2008-10,31,32,62,22,61
2008-11,28,28,57,21,57
2008-12,32,28,45,20,62
2009-01,27,27,50,21,61
2009-02,23,32,50,22,57
2009-03,27,32,53,22,59
2009-04,28,29,57,22,60
2009-05,35,36,69,21,68
2009-06,34,39,53,20,79
2009-07,35,47,60,19,100
2009-08,35,44,70,19,72
2009-09,36,30,59,19,63
2009-10,33,26,52,21,64
2009-11,36,39,48,19,72
2009-12,35,51,41,21,72
2010-01,32,48,47,24,79
2010-02,26,43,47,22,71
2010-03,27,38,50,24,69
2010-04,30,40,53,28,69
2010-05,33,32,56,33,91
2010-06,32,30,48,34,71
2010-07,37,48,55,32,69
2010-08,46,48,61,29,68
2010-09,41,43,49,30,70
2010-10,34,33,48,30,68
2010-11,37,27,44,34,59
2010-12,33,32,38,42,65
2011-01,34,35,50,44,75
2011-02,31,36,48,38,75
2011-03,27,36,38,29,65
2011-04,32,35,47,32,67
2011-05,40,47,56,33,67
2011-06,40,43,46,31,68
2011-07,43,49,57,30,69
2011-08,41,49,66,27,82
2011-09,46,43,54,28,69
2011-10,39,40,45,30,61
2011-11,38,35,46,30,60
2011-12,41,40,38,28,56
2012-01,38,37,44,30,59
2012-02,31,39,41,29,56
2012-03,34,43,47,27,58
2012-04,35,44,48,27,56
2012-05,38,44,52,25,61
2012-06,38,39,45,23,56
2012-07,36,50,58,30,64
2012-08,47,59,66,24,60
2012-09,51,54,52,24,61
2012-10,40,42,46,28,63
2012-11,49,52,43,30,74
2012-12,49,53,34,28,58
2013-01,37,52,41,29,56
2013-02,31,48,41,26,53
2013-03,34,45,43,24,53
2013-04,37,44,46,24,55
2013-05,39,39,47,24,54
2013-06,37,34,40,23,56
2013-07,44,53,53,21,59
2013-08,39,61,62,19,56
2013-09,38,44,45,20,58
2013-10,44,36,43,21,54
2013-11,55,42,42,22,58
2013-12,48,42,35,22,52
2014-01,33,42,44,23,55
2014-02,30,35,36,21,55
2014-03,34,48,45,20,52
2014-04,36,57,47,21,53
2014-05,39,57,46,20,51
2014-06,37,37,43,20,52
2014-07,40,43,50,19,50
