Kategori: Tüm kategoriler

Ay,Konsert: (Malezya),Panggung wayang: (Malezya),Muzium: (Malezya),Buku: (Malezya),Teater: (Malezya)
2004-01,6,0,0,20,0
2004-02,0,0,6,16,0
2004-03,0,0,0,11,0
2004-04,0,0,0,14,7
2004-05,0,0,0,15,0
2004-06,0,0,10,12,0
2004-07,7,0,7,16,0
2004-08,6,0,7,16,0
2004-09,5,0,4,18,0
2004-10,0,0,6,12,4
2004-11,0,0,5,12,0
2004-12,0,0,4,12,0
2005-01,0,0,5,16,0
2005-02,0,0,8,18,0
2005-03,3,0,6,15,3
2005-04,3,0,4,25,0
2005-05,5,0,5,16,0
2005-06,4,0,4,15,0
2005-07,4,0,6,12,0
2005-08,9,0,4,17,0
2005-09,4,0,5,17,0
2005-10,3,0,6,14,0
2005-11,0,0,3,10,0
2005-12,3,0,4,9,0
2006-01,2,0,3,14,0
2006-02,0,0,4,19,2
2006-03,2,0,5,20,0
2006-04,2,0,4,16,0
2006-05,3,0,3,12,2
2006-06,4,0,4,14,0
2006-07,5,0,10,11,2
2006-08,5,0,5,14,3
2006-09,2,0,6,13,0
2006-10,2,0,4,12,0
2006-11,1,0,4,10,1
2006-12,0,0,3,10,0
2007-01,2,0,4,14,1
2007-02,0,0,4,15,0
2007-03,4,0,4,14,1
2007-04,6,0,5,17,1
2007-05,7,0,3,16,0
2007-06,2,0,4,14,0
2007-07,2,0,5,13,1
2007-08,2,0,4,12,2
2007-09,1,0,4,13,1
2007-10,1,0,3,10,2
2007-11,2,0,3,10,0
2007-12,3,0,3,10,2
2008-01,2,0,2,13,1
2008-02,1,0,4,15,1
2008-03,4,0,4,17,1
2008-04,8,0,4,18,1
2008-05,8,0,4,13,1
2008-06,3,0,4,15,1
2008-07,2,0,3,14,1
2008-08,2,0,4,14,1
2008-09,2,0,3,13,1
2008-10,1,0,3,12,1
2008-11,1,0,3,12,1
2008-12,1,0,3,10,0
2009-01,2,1,4,17,1
2009-02,3,0,6,17,2
2009-03,6,<1,12,19,2
2009-04,9,0,11,22,2
2009-05,10,0,8,15,1
2009-06,6,0,9,17,1
2009-07,6,<1,5,17,2
2009-08,4,0,3,16,1
2009-09,3,0,3,14,1
2009-10,3,0,4,19,2
2009-11,4,1,3,15,2
2009-12,2,<1,3,15,2
2010-01,4,<1,4,19,1
2010-02,4,0,4,19,2
2010-03,5,0,4,25,2
2010-04,8,0,4,22,1
2010-05,12,<1,3,19,1
2010-06,5,<1,3,19,1
2010-07,4,<1,3,20,2
2010-08,3,0,3,20,1
2010-09,3,<1,3,16,2
2010-10,5,1,4,20,2
2010-11,3,<1,2,18,2
2010-12,5,1,3,17,2
2011-01,4,1,3,21,2
2011-02,4,<1,3,22,2
2011-03,4,<1,4,22,2
2011-04,7,<1,3,24,1
2011-05,8,1,3,19,1
2011-06,7,1,3,21,1
2011-07,3,1,2,24,1
2011-08,2,<1,2,30,1
2011-09,4,1,3,54,1
2011-10,3,1,3,58,1
2011-11,3,1,3,49,2
2011-12,6,1,3,35,1
2012-01,4,<1,3,44,1
2012-02,3,<1,3,36,1
2012-03,3,<1,3,30,1
2012-04,5,<1,3,32,2
2012-05,7,<1,3,26,1
2012-06,4,1,3,23,1
2012-07,2,<1,2,22,1
2012-08,1,<1,2,16,<1
2012-09,2,1,3,22,1
2012-10,3,1,3,22,1
2012-11,3,1,3,19,2
2012-12,3,1,3,19,1
2013-01,2,1,2,29,1
2013-02,3,1,3,32,1
2013-03,2,1,3,29,1
2013-04,2,1,3,31,1
2013-05,3,1,2,24,1
2013-06,2,1,3,22,1
2013-07,2,<1,2,20,1
2013-08,3,1,2,17,1
2013-09,4,1,3,22,1
2013-10,4,1,3,23,1
2013-11,6,1,4,21,1
2013-12,2,1,4,20,1
2014-01,2,1,3,30,1
2014-02,2,1,3,33,1
2014-03,10,1,3,32,1
2014-04,3,1,3,33,1
2014-05,3,1,3,24,1
2014-06,4,1,3,22,1
2014-07,1,1,2,21,1
2014-08,2,1,2,23,1
2014-09,6,1,4,25,1
2014-10,5,1,4,25,1
2014-11,6,1,4,25,1
2014-12,3,1,4,22,1
2015-01,5,1,3,29,1
2015-02,2,1,4,31,1
2015-03,2,1,4,35,1
2015-04,2,2,4,37,1
2015-05,3,1,4,29,1
2015-06,2,1,4,28,1
2015-07,1,1,3,24,1
2015-08,3,1,4,29,1
2015-09,4,1,5,26,1
2015-10,6,1,5,30,2
2015-11,6,1,5,27,2
2015-12,5,1,6,25,1
2016-01,3,1,3,34,1
2016-02,2,1,4,32,1
2016-03,3,2,4,35,1
2016-04,3,1,3,35,1
2016-05,3,1,3,30,1
2016-06,1,1,21,24,1
2016-07,2,1,3,24,1
2016-08,2,1,3,26,1
2016-09,3,1,4,25,1
2016-10,5,1,4,26,1
2016-11,4,1,4,26,1
2016-12,3,1,5,22,1
2017-01,2,1,4,33,1
2017-02,2,1,3,36,1
2017-03,2,1,4,32,1
2017-04,2,1,4,33,1
2017-05,3,1,4,28,1
2017-06,1,1,2,18,<1
2017-07,1,1,4,26,1
2017-08,1,1,5,25,1
2017-09,2,1,6,26,1
2017-10,2,1,7,27,1
2017-11,2,1,6,24,1
2017-12,2,1,6,22,1
2018-01,1,1,4,35,1
2018-02,1,1,4,29,1
2018-03,3,1,5,29,1
2018-04,2,1,4,30,1
2018-05,2,1,3,26,1
2018-06,1,1,3,17,<1
2018-07,1,1,4,26,1
2018-08,2,2,4,25,1
2018-09,2,2,5,24,1
2018-10,2,1,4,25,1
2018-11,3,1,5,23,1
2018-12,2,1,6,21,1
2019-01,2,1,4,36,1
2019-02,3,1,5,30,1
2019-03,2,2,5,31,1
2019-04,2,2,4,30,1
2019-05,1,1,3,26,1
2019-06,1,1,4,22,1
2019-07,2,1,4,30,1
2019-08,2,2,5,27,1
2019-09,2,1,5,29,1
2019-10,2,1,5,29,1
2019-11,2,1,5,25,1
2019-12,2,2,6,22,1
2020-01,1,1,4,39,1
2020-02,2,1,4,35,1
2020-03,1,<1,2,33,1
2020-04,1,<1,1,49,<1
2020-05,1,<1,1,30,<1
2020-06,1,<1,2,35,<1
2020-07,1,1,3,43,<1
2020-08,1,<1,4,39,<1
2020-09,1,<1,4,40,<1
2020-10,1,<1,2,43,<1
2020-11,1,<1,2,51,<1
2020-12,1,<1,3,39,<1
2021-01,1,<1,2,85,<1
2021-02,<1,<1,1,89,<1
2021-03,<1,1,2,64,<1
2021-04,<1,<1,2,59,<1
2021-05,<1,<1,1,50,<1
2021-06,1,<1,1,69,<1
2021-07,1,<1,1,73,<1
2021-08,1,<1,1,74,<1
2021-09,1,<1,2,73,<1
2021-10,1,<1,3,72,<1
2021-11,1,<1,4,62,1
2021-12,1,1,4,35,<1
2022-01,1,1,4,54,<1
2022-02,1,<1,4,63,<1
2022-03,1,<1,5,100,<1
2022-04,1,<1,3,85,1
2022-05,1,1,4,59,1
2022-06,2,2,6,67,1
2022-07,2,2,5,61,1
