Kategori: Tüm kategoriler

Ay,concert: (Amerika Birleşik Devletleri),cinema: (Amerika Birleşik Devletleri),museum: (Amerika Birleşik Devletleri),book: (Amerika Birleşik Devletleri),theater: (Amerika Birleşik Devletleri)
2004-01,9,14,36,100,38
2004-02,11,12,35,92,36
2004-03,13,12,36,94,33
2004-04,14,11,34,97,32
2004-05,13,13,34,96,33
2004-06,15,16,35,93,37
2004-07,16,17,36,92,39
2004-08,14,13,34,95,33
2004-09,12,10,33,98,31
2004-10,10,10,32,95,33
2004-11,10,14,33,97,39
2004-12,10,13,32,99,37
2005-01,10,12,32,96,34
2005-02,12,11,33,97,31
2005-03,12,10,36,93,34
2005-04,14,10,35,98,33
2005-05,14,13,35,94,37
2005-06,15,13,32,91,34
2005-07,16,14,35,94,39
2005-08,14,12,32,90,33
2005-09,14,9,28,89,31
2005-10,13,11,29,95,33
2005-11,11,14,30,86,40
2005-12,9,15,29,91,39
2006-01,9,13,31,93,36
2006-02,11,11,31,81,34
2006-03,11,10,32,86,31
2006-04,11,10,31,84,31
2006-05,12,12,32,89,31
2006-06,14,13,32,79,35
2006-07,15,17,33,78,37
2006-08,13,12,29,84,33
2006-09,12,11,28,87,32
2006-10,11,12,28,85,33
2006-11,11,13,28,82,37
2006-12,10,15,30,87,39
2007-01,10,13,30,84,34
2007-02,11,12,29,80,34
2007-03,12,13,30,80,35
2007-04,12,11,30,81,31
2007-05,13,13,29,82,35
2007-06,16,14,30,79,35
2007-07,19,19,30,84,42
2007-08,15,14,27,81,34
2007-09,14,11,25,86,30
2007-10,11,11,25,88,30
2007-11,11,12,27,87,34
2007-12,11,15,24,89,38
2008-01,10,15,26,84,34
2008-02,12,13,26,80,32
2008-03,11,12,29,80,31
2008-04,13,10,26,83,28
2008-05,14,13,26,90,33
2008-06,14,14,26,75,34
2008-07,16,17,27,74,37
2008-08,13,14,25,79,31
2008-09,11,10,22,82,27
2008-10,10,11,23,81,30
2008-11,10,15,24,87,38
2008-12,10,13,23,88,36
2009-01,11,17,24,85,38
2009-02,12,13,25,85,34
2009-03,13,11,27,90,31
2009-04,13,11,26,84,29
2009-05,13,13,26,88,33
2009-06,14,16,29,80,39
2009-07,17,17,27,79,39
2009-08,15,14,24,85,34
2009-09,13,11,21,90,29
2009-10,13,13,23,85,34
2009-11,12,16,22,87,42
2009-12,10,16,22,87,40
