Kategori: Tüm kategoriler

Ay,Concert: (Birleşik Krallık),Cinema: (Birleşik Krallık),Museum: (Birleşik Krallık),Book: (Birleşik Krallık),Theatre: (Birleşik Krallık)
2004-01,9,53,22,41,45
2004-02,9,47,25,39,44
2004-03,11,44,20,39,38
2004-04,11,50,23,38,37
2004-05,9,49,20,36,34
2004-06,10,47,19,36,34
2004-07,10,55,21,37,35
2004-08,9,56,23,36,35
2004-09,8,43,20,39,43
2004-10,9,58,23,41,46
2004-11,10,57,20,43,47
2004-12,10,54,17,46,44
2005-01,13,56,19,37,45
2005-02,9,56,23,39,44
2005-03,8,45,21,40,36
2005-04,8,43,19,36,37
2005-05,10,49,18,36,36
2005-06,16,42,18,39,35
2005-07,11,52,18,36,32
2005-08,7,53,18,36,33
2005-09,7,44,18,38,38
2005-10,8,58,21,40,41
2005-11,11,58,19,43,43
2005-12,10,64,17,42,40
2006-01,7,60,19,38,43
2006-02,8,58,21,39,40
2006-03,7,48,18,39,38
2006-04,9,55,22,34,33
2006-05,8,53,18,35,31
2006-06,9,38,15,33,29
2006-07,7,56,17,33,28
2006-08,6,54,20,36,33
2006-09,9,46,15,38,39
2006-10,7,56,19,39,42
2006-11,9,65,17,42,42
2006-12,10,61,17,41,39
2007-01,6,55,17,36,41
2007-02,7,60,20,38,39
2007-03,9,47,17,38,34
2007-04,7,45,17,37,30
2007-05,8,53,17,39,32
2007-06,10,43,15,44,33
2007-07,12,66,17,50,31
2007-08,7,57,19,49,30
2007-09,7,44,20,51,33
2007-10,7,47,21,55,37
2007-11,8,43,18,59,38
2007-12,8,53,15,57,36
2008-01,6,50,18,53,37
2008-02,6,49,18,55,34
2008-03,6,47,18,54,31
2008-04,5,40,16,53,30
2008-05,7,45,15,54,27
2008-06,8,45,13,56,28
2008-07,6,56,15,56,26
2008-08,5,62,18,54,27
2008-09,5,40,13,61,30
2008-10,6,45,15,61,31
2008-11,7,43,14,65,31
2008-12,6,37,12,63,30
2009-01,5,50,14,63,32
2009-02,5,50,15,64,29
2009-03,6,37,14,60,27
2009-04,5,45,16,55,25
2009-05,5,44,17,55,24
2009-06,7,39,15,54,24
2009-07,6,56,16,53,24
2009-08,4,48,17,55,23
2009-09,5,37,15,58,26
2009-10,5,45,16,58,29
2009-11,6,49,14,58,30
2009-12,5,47,12,56,28
2010-01,4,49,14,49,26
2010-02,4,51,16,49,29
2010-03,4,47,15,49,25
2010-04,4,43,15,46,22
2010-05,4,38,14,43,21
2010-06,5,29,12,45,20
2010-07,4,51,14,46,21
2010-08,4,50,15,45,21
2010-09,5,33,13,46,23
2010-10,5,40,14,47,25
2010-11,4,37,12,48,24
2010-12,5,33,10,48,23
2011-01,5,53,15,53,30
2011-02,5,61,18,53,29
2011-03,5,37,14,52,26
2011-04,4,41,14,45,22
2011-05,5,42,14,44,21
2011-06,6,42,15,44,24
2011-07,5,54,17,44,24
2011-08,4,64,17,42,23
2011-09,5,44,15,48,26
2011-10,6,49,17,45,30
2011-11,6,43,14,49,30
2011-12,5,42,12,47,29
2012-01,4,43,15,45,27
2012-02,7,51,16,44,27
2012-03,5,38,15,43,26
2012-04,5,52,18,43,24
2012-05,5,39,14,43,21
2012-06,12,40,16,43,22
2012-07,6,46,15,42,22
2012-08,4,47,17,41,22
2012-09,5,37,14,44,26
2012-10,5,50,15,49,26
2012-11,6,49,13,47,27
2012-12,5,43,12,49,27
2013-01,4,52,13,44,26
2013-02,5,49,16,45,27
2013-03,5,38,17,49,25
2013-04,5,37,16,41,23
2013-05,5,43,15,41,22
2013-06,6,40,15,40,20
2013-07,5,39,16,39,20
2013-08,4,51,19,40,22
2013-09,4,35,15,43,25
2013-10,5,38,17,46,26
2013-11,5,37,14,50,28
2013-12,5,39,12,52,30
2014-01,4,40,17,46,27
2014-02,4,43,18,47,27
2014-03,4,30,15,51,23
2014-04,4,34,17,41,22
2014-05,5,34,17,42,22
2014-06,5,33,14,42,21
2014-07,4,38,16,42,22
2014-08,3,47,19,42,22
2014-09,4,28,15,47,24
2014-10,4,39,17,48,26
2014-11,5,39,15,51,27
2014-12,5,43,14,51,26
2015-01,4,43,16,47,26
2015-02,4,48,17,53,25
2015-03,4,34,16,52,23
2015-04,4,40,17,42,23
2015-05,4,40,16,41,21
2015-06,5,41,15,46,21
2015-07,4,46,17,44,22
2015-08,4,49,19,45,20
2015-09,4,35,14,48,23
2015-10,4,51,17,49,26
2015-11,6,45,14,54,28
2015-12,6,49,13,56,28
2016-01,4,44,15,46,24
2016-02,4,46,17,58,26
2016-03,5,42,16,51,23
2016-04,4,42,15,54,23
2016-05,4,36,14,50,20
2016-06,5,36,13,45,20
2016-07,4,46,16,45,21
2016-08,3,52,17,48,20
2016-09,4,44,13,49,23
2016-10,5,47,16,52,25
2016-11,5,38,13,55,25
2016-12,5,42,12,57,26
2017-01,4,48,14,49,26
2017-02,5,53,17,57,24
2017-03,4,46,14,53,23
2017-04,4,46,17,43,20
2017-05,7,33,15,45,20
2017-06,12,33,14,44,20
2017-07,5,49,18,44,19
2017-08,3,47,20,43,20
2017-09,4,40,14,48,22
2017-10,5,40,17,51,26
2017-11,5,41,14,54,26
2017-12,5,48,13,55,27
2018-01,4,48,16,51,26
2018-02,4,55,19,59,24
2018-03,4,43,17,49,24
2018-04,4,47,17,44,22
2018-05,5,35,15,44,19
2018-06,6,33,13,44,21
2018-07,4,46,17,42,19
2018-08,4,52,20,44,20
2018-09,4,35,17,50,25
2018-10,5,48,17,46,24
2018-11,6,44,15,53,27
2018-12,5,44,13,57,26
2019-01,4,41,15,52,25
2019-02,4,41,18,59,24
2019-03,5,36,16,57,24
2019-04,4,48,18,45,21
2019-05,5,44,16,44,21
2019-06,7,42,15,45,21
2019-07,4,47,17,44,20
2019-08,4,47,21,45,21
2019-09,4,40,15,50,25
2019-10,5,49,17,50,26
2019-11,6,43,15,56,26
2019-12,5,44,13,54,27
2020-01,4,47,14,50,23
2020-02,5,49,18,55,24
2020-03,4,18,9,53,16
2020-04,5,5,5,46,9
2020-05,3,5,5,50,7
2020-06,2,7,6,48,6
2020-07,2,12,9,49,6
2020-08,2,16,12,52,5
2020-09,2,15,10,61,6
2020-10,2,16,11,57,6
2020-11,2,6,6,58,6
2020-12,3,9,6,60,7
2021-01,2,3,5,57,5
2021-02,2,3,5,59,5
2021-03,2,4,5,65,6
2021-04,2,5,7,60,6
2021-05,2,21,11,67,9
2021-06,2,26,13,68,9
2021-07,2,27,15,60,12
2021-08,4,33,20,59,18
2021-09,5,27,13,64,20
2021-10,5,46,16,67,23
2021-11,7,29,13,83,23
2021-12,5,34,12,100,22
2022-01,4,31,14,71,22
2022-02,5,35,18,74,25
2022-03,7,25,15,65,22
2022-04,5,28,18,56,21
2022-05,7,29,15,51,20
2022-06,16,32,15,53,20
2022-07,6,34,16,52,19
2022-08,8,29,19,53,20
2022-09,7,26,15,58,22
2022-10,6,31,17,58,25
2022-11,6,26,14,58,24
2022-12,6,28,13,56,25
2023-01,5,30,16,61,24
2023-02,6,29,19,62,26
2023-03,6,27,17,58,24
2023-04,7,28,19,50,22
2023-05,16,25,16,54,19
2023-06,11,23,15,48,18
2023-07,7,45,19,52,21
2023-08,6,39,23,53,20
2023-09,6,24,16,57,21
2023-10,6,28,18,56,23
2023-11,7,25,15,65,25
2023-12,7,30,14,61,26
2024-01,5,28,17,60,24
2024-02,7,31,21,65,26
2024-03,6,27,19,70,23
2024-04,6,25,20,57,21
2024-05,7,23,18,54,21
2024-06,10,23,17,52,20
2024-07,7,30,20,56,20
2024-08,8,35,22,55,19
2024-09,7,24,18,61,23
2024-10,6,24,18,61,24
2024-11,7,32,14,65,23
2024-12,7,31,15,66,25
2025-01,5,26,16,64,22
2025-02,7,29,18,69,23
2025-03,6,20,15,69,20
