Date,concert,cinema,museum,book,theater,Country
2004-01-01,12,78,21,25,33,Germany
2004-02-01,13,72,23,23,28,Germany
2004-03-01,13,73,26,24,28,Germany
2004-04-01,14,66,23,23,26,Germany
2004-05-01,14,71,22,22,25,Germany
2004-06-01,17,70,22,22,21,Germany
2004-07-01,12,90,21,23,20,Germany
2004-08-01,10,89,22,20,19,Germany
2004-09-01,12,79,21,24,26,Germany
2004-10-01,14,85,23,26,35,Germany
2004-11-01,14,73,22,26,37,Germany
2004-12-01,15,76,19,32,39,Germany
2005-01-01,12,78,22,24,30,Germany
2005-02-01,14,76,20,26,29,Germany
2005-03-01,11,76,23,25,29,Germany
2005-04-01,13,58,20,26,29,Germany
2005-05-01,11,71,21,23,25,Germany
2005-06-01,16,54,17,22,23,Germany
2005-07-01,13,82,19,22,18,Germany
2005-08-01,11,80,22,22,21,Germany
2005-09-01,11,57,17,24,27,Germany
2005-10-01,13,79,21,25,31,Germany
2005-11-01,19,91,16,27,38,Germany
2005-12-01,15,81,15,32,37,Germany
2006-01-01,10,81,19,25,31,Germany
2006-02-01,11,80,20,25,28,Germany
2006-03-01,11,76,20,24,29,Germany
2006-04-01,11,95,22,23,24,Germany
2006-05-01,13,75,22,23,23,Germany
2006-06-01,10,50,19,21,19,Germany
2006-07-01,15,81,18,20,17,Germany
2006-08-01,13,88,26,21,20,Germany
2006-09-01,11,72,20,23,24,Germany
2006-10-01,13,96,21,24,31,Germany
2006-11-01,14,81,18,25,33,Germany
2006-12-01,14,84,20,29,36,Germany
2007-01-01,10,84,23,23,29,Germany
2007-02-01,11,83,20,22,27,Germany
2007-03-01,12,72,20,23,26,Germany
2007-04-01,11,72,19,21,22,Germany
2007-05-01,12,76,19,22,24,Germany
2007-06-01,18,72,17,22,21,Germany
2007-07-01,12,95,19,22,18,Germany
2007-08-01,9,80,20,20,18,Germany
2007-09-01,10,73,18,23,25,Germany
2007-10-01,12,78,20,24,30,Germany
2007-11-01,13,66,17,26,33,Germany
2007-12-01,13,83,16,28,33,Germany
2008-01-01,9,90,17,24,26,Germany
2008-02-01,9,92,17,24,26,Germany
2008-03-01,10,99,21,22,24,Germany
2008-04-01,10,59,18,25,23,Germany
2008-05-01,11,62,16,22,19,Germany
2008-06-01,11,49,15,21,18,Germany
2008-07-01,9,83,18,21,16,Germany
2008-08-01,10,80,18,20,16,Germany
2008-09-01,10,67,16,22,23,Germany
2008-10-01,13,84,18,24,25,Germany
2008-11-01,12,78,16,26,29,Germany
2008-12-01,13,87,15,28,30,Germany
2009-01-01,10,96,17,24,25,Germany
2009-02-01,9,91,19,22,24,Germany
2009-03-01,12,82,19,23,23,Germany
2009-04-01,9,63,18,21,20,Germany
2009-05-01,11,66,20,21,18,Germany
2009-06-01,12,65,19,21,19,Germany
2009-07-01,10,92,18,19,16,Germany
2009-08-01,9,79,18,19,15,Germany
2009-09-01,9,73,16,21,21,Germany
2009-10-01,12,88,20,22,26,Germany
2009-11-01,13,82,17,24,28,Germany
2009-12-01,12,90,16,28,29,Germany
2010-01-01,8,89,17,22,23,Germany
2010-02-01,9,85,18,21,21,Germany
2010-03-01,9,75,18,21,22,Germany
2010-04-01,8,56,17,20,19,Germany
2010-05-01,10,63,18,20,18,Germany
2010-06-01,8,45,14,20,16,Germany
2010-07-01,8,74,16,20,13,Germany
2010-08-01,9,83,19,22,14,Germany
2010-09-01,9,64,16,23,20,Germany
2010-10-01,9,71,18,22,22,Germany
2010-11-01,11,80,15,23,25,Germany
2010-12-01,10,61,13,26,24,Germany
2011-01-01,12,93,19,26,26,Germany
2011-02-01,10,89,19,26,26,Germany
2011-03-01,10,74,16,26,22,Germany
2011-04-01,10,76,17,24,20,Germany
2011-05-01,9,72,17,26,19,Germany
2011-06-01,13,90,18,23,19,Germany
2011-07-01,11,100,20,23,18,Germany
2011-08-01,9,86,21,24,17,Germany
2011-09-01,9,72,19,26,23,Germany
2011-10-01,12,78,21,25,26,Germany
2011-11-01,14,88,18,28,29,Germany
2011-12-01,14,87,18,33,31,Germany
2012-01-01,10,90,19,26,26,Germany
2012-02-01,9,87,18,26,24,Germany
2012-03-01,10,76,17,25,23,Germany
2012-04-01,10,89,20,25,21,Germany
2012-05-01,11,66,17,25,19,Germany
2012-06-01,11,59,18,25,18,Germany
2012-07-01,11,78,19,24,17,Germany
2012-08-01,10,83,19,24,15,Germany
2012-09-01,12,64,18,28,21,Germany
2012-10-01,13,82,20,26,25,Germany
2012-11-01,15,91,17,31,28,Germany
2012-12-01,14,93,16,37,29,Germany
2013-01-01,10,86,18,28,25,Germany
2013-02-01,10,81,18,27,22,Germany
2013-03-01,10,78,19,27,20,Germany
2013-04-01,10,58,19,26,20,Germany
2013-05-01,12,76,21,26,19,Germany
2013-06-01,14,61,16,24,17,Germany
2013-07-01,11,65,16,25,15,Germany
2013-08-01,11,84,19,26,16,Germany
2013-09-01,10,60,17,27,20,Germany
2013-10-01,13,70,19,27,25,Germany
2013-11-01,14,80,17,31,29,Germany
2013-12-01,15,86,16,35,31,Germany
2014-01-01,11,75,18,29,26,Germany
2014-02-01,12,68,18,28,23,Germany
2014-03-01,12,62,17,26,20,Germany
2014-04-01,11,61,19,27,19,Germany
2014-05-01,11,58,19,27,19,Germany
2014-06-01,12,43,15,26,16,Germany
2014-07-01,10,56,17,25,14,Germany
2014-08-01,10,84,23,26,16,Germany
2014-09-01,11,56,17,28,19,Germany
2014-10-01,13,70,19,30,26,Germany
2014-11-01,16,74,17,33,30,Germany
2014-12-01,18,82,18,38,27,Germany
2015-01-01,11,83,19,30,24,Germany
2015-02-01,11,88,19,30,23,Germany
2015-03-01,12,69,20,28,21,Germany
2015-04-01,10,69,21,28,19,Germany
2015-05-01,12,65,20,26,18,Germany
2015-06-01,17,58,17,28,17,Germany
2015-07-01,14,78,18,26,15,Germany
2015-08-01,12,66,22,26,14,Germany
2015-09-01,14,76,19,28,20,Germany
2015-10-01,14,88,20,30,24,Germany
2015-11-01,18,83,17,33,27,Germany
2015-12-01,18,91,17,39,28,Germany
2016-01-01,12,87,18,31,22,Germany
2016-02-01,12,80,18,32,21,Germany
2016-03-01,12,71,20,30,19,Germany
2016-04-01,12,54,17,30,18,Germany
2016-05-01,13,51,18,28,16,Germany
2016-06-01,12,48,16,27,15,Germany
2016-07-01,13,65,17,28,12,Germany
2016-08-01,11,66,19,27,13,Germany
2016-09-01,11,59,17,30,18,Germany
2016-10-01,15,81,21,30,23,Germany
2016-11-01,16,69,16,38,24,Germany
2016-12-01,16,79,16,40,25,Germany
2017-01-01,12,82,18,32,22,Germany
2017-02-01,13,88,19,31,21,Germany
2017-03-01,13,69,18,33,20,Germany
2017-04-01,12,74,22,31,18,Germany
2017-05-01,14,49,17,29,17,Germany
2017-06-01,16,57,17,29,15,Germany
2017-07-01,15,70,20,28,14,Germany
2017-08-01,12,66,21,29,13,Germany
2017-09-01,13,63,19,29,18,Germany
2017-10-01,14,90,24,33,23,Germany
2017-11-01,16,67,19,35,24,Germany
2017-12-01,17,75,17,40,26,Germany
2018-01-01,13,70,19,34,22,Germany
2018-02-01,14,71,19,30,20,Germany
2018-03-01,13,71,22,32,20,Germany
2018-04-01,12,49,18,28,16,Germany
2018-05-01,12,47,18,27,15,Germany
2018-06-01,16,41,17,28,14,Germany
2018-07-01,17,51,19,27,13,Germany
2018-08-01,14,61,22,29,14,Germany
2018-09-01,17,59,20,31,18,Germany
2018-10-01,15,74,22,33,21,Germany
2018-11-01,17,72,18,37,25,Germany
2018-12-01,18,81,20,44,26,Germany
2019-01-01,12,78,20,33,21,Germany
2019-02-01,12,72,21,33,19,Germany
2019-03-01,14,67,21,32,20,Germany
2019-04-01,11,65,22,33,16,Germany
2019-05-01,14,57,20,31,16,Germany
2019-06-01,19,44,18,28,14,Germany
2019-07-01,19,76,22,29,12,Germany
2019-08-01,16,72,23,31,13,Germany
2019-09-01,15,65,20,34,18,Germany
2019-10-01,16,88,24,34,23,Germany
2019-11-01,20,87,20,38,24,Germany
2019-12-01,20,83,19,43,26,Germany
2020-01-01,13,79,22,37,22,Germany
2020-02-01,14,78,21,33,20,Germany
2020-03-01,16,29,11,36,14,Germany
2020-04-01,9,7,7,39,6,Germany
2020-05-01,6,11,13,35,6,Germany
2020-06-01,6,16,15,36,7,Germany
2020-07-01,6,26,20,34,7,Germany
2020-08-01,7,30,20,35,7,Germany
2020-09-01,5,31,18,35,10,Germany
2020-10-01,4,38,17,34,10,Germany
2020-11-01,3,6,7,42,5,Germany
2020-12-01,4,5,6,45,5,Germany
2021-01-01,3,4,7,39,4,Germany
2021-02-01,3,4,7,37,4,Germany
2021-03-01,3,4,12,34,4,Germany
2021-04-01,3,3,18,33,4,Germany
2021-05-01,5,7,11,32,5,Germany
2021-06-01,7,17,14,29,8,Germany
2021-07-01,10,62,20,32,9,Germany
