Year,Country,Rank,Name,Overall Score
2016,Turkey,271.0,Koç University,43.032500000000006
2016,Turkey,369.0,Sabancı University,37.1725
2016,Turkey,384.0,Bilkent University,36.3325
2016,Turkey,487.0,Boğaziçi University,30.249999999999996
2016,Turkey,554.0,Middle East Technical University,26.3025
2016,Turkey,579.0,Istanbul Technical University,24.97
2016,Turkey,647.0,Istanbul University,21.79
2016,Turkey,730.0,Hacettepe University,17.924999999999997
2016,Turkey,742.0,Anadolu University,17.2825
2016,Turkey,771.0,Erciyes University,15.3675
2016,Turkey,785.0,Yıldız Technical University,14.637499999999998
2017,Turkey,298.0,Koç University,43.7175
2017,Turkey,346.0,Sabancı University,41.085
2017,Turkey,387.0,Bilkent University,38.365
2017,Turkey,446.0,Boğaziçi University,35.56
2017,Turkey,463.0,Atılım University,34.4075
2017,Turkey,580.0,Istanbul Technical University,28.66
2017,Turkey,612.0,Middle East Technical University,27.015
2017,Turkey,709.0,Hacettepe University,22.6475
2017,Turkey,768.0,Istanbul University,20.345
2017,Turkey,794.0,Izmir Institute of Technology,18.8225
2017,Turkey,795.0,TOBB University of Economics and Technology,18.8175
2017,Turkey,816.0,Erciyes University,18.0425
2017,Turkey,882.0,Yıldız Technical University,15.765
2017,Turkey,941.0,Gazi University,12.8675
2017,Turkey,943.0,Anadolu University,12.645
2017,Turkey,951.0,Ankara University,12.335
2017,Turkey,974.0,Marmara University,10.8075
2018,Turkey,342.0,Koç University,43.0425
2018,Turkey,360.0,Sabancı University,41.84
2018,Turkey,427.0,Bilkent University,38.45
2018,Turkey,500.0,Boğaziçi University,35.01499999999999
2018,Turkey,650.0,Atılım University,28.5075
2018,Turkey,651.0,Istanbul Technical University,28.48
2018,Turkey,655.0,Middle East Technical University,28.065
2018,Turkey,671.0,Hacettepe University,27.155
2018,Turkey,790.0,Gebze Technical University,22.3
2018,Turkey,803.0,Izmir Institute of Technology,21.384999999999994
2018,Turkey,819.0,Istanbul University,20.965
2018,Turkey,859.0,Marmara University,19.91
2018,Turkey,861.0,TOBB University of Economics and Technology,19.8975
2018,Turkey,907.0,Yıldız Technical University,18.5025
2018,Turkey,914.0,Erciyes University,18.28
2018,Turkey,953.0,Akdeniz University,17.1025
