Country,Year,Overall Score
Turkey,2006,432
Turkey,2007,439.333333333333
Turkey,2008,446.666666666667
Turkey,2009,454
Turkey,2010,456.666666666667
Turkey,2011,459.333333333333
Turkey,2012,462
Turkey,2013,449.333333333333
Turkey,2014,436.666666666667
Turkey,2015,424
Turkey,2016,437
Turkey,2017,450
Turkey,2018,463
Turkey,2019,462.75
Turkey,2020,462.5
Turkey,2021,462.25
Turkey,2022,462
Turkey,2023,460.48401826484
Turkey,2024,461.721461187215
Turkey,2025,462.958904109589
Poland,2006,500
Poland,2007,500.333333333333
Poland,2008,500.666666666667
Poland,2009,501
Poland,2010,507.666666666667
Poland,2011,514.333333333333
Poland,2012,521
Poland,2013,515.333333333333
Poland,2014,509.666666666667
Poland,2015,504
Poland,2016,507
Poland,2017,510
Poland,2018,513
Poland,2019,513.75
Poland,2020,514.5
Poland,2021,515.25
Poland,2022,516
Poland,2023,512.75799086758
Poland,2024,512.639269406393
Poland,2025,512.520547945206
Brazil,2006,384
Brazil,2007,389.666666666667
Brazil,2008,395.333333333333
Brazil,2009,401
Brazil,2010,401.333333333333
Brazil,2011,401.666666666667
Brazil,2012,402
Brazil,2013,399.666666666667
Brazil,2014,397.333333333333
Brazil,2015,395
Brazil,2016,396.666666666667
Brazil,2017,398.333333333333
Brazil,2018,400
Brazil,2019,399.25
Brazil,2020,398.5
Brazil,2021,397.75
Brazil,2022,397
Brazil,2023,396.616438356164
Brazil,2024,396.315068493151
Brazil,2025,396.013698630137
Malaysia,2006,421
Malaysia,2007,418
Malaysia,2008,416
Malaysia,2009,413
Malaysia,2010,413
Malaysia,2011,413
Malaysia,2012,413
Malaysia,2013,422
Malaysia,2014,431
Malaysia,2015,440
Malaysia,2016,437
Malaysia,2017,434
Malaysia,2018,431
Malaysia,2019,424.25
Malaysia,2020,417.5
Malaysia,2021,410.75
Malaysia,2022,404
Malaysia,2023,413.780821917808
Malaysia,2024,412.465753424658
Malaysia,2025,411.150684931507
Jordan,2006,402
Jordan,2007,402
Jordan,2008,402
Jordan,2009,402
Jordan,2010,400.666666666667
Jordan,2011,399.333333333333
Jordan,2012,398
Jordan,2013,398.333333333333
Jordan,2014,398.666666666667
Jordan,2015,399
Jordan,2016,400
Jordan,2017,401
Jordan,2018,402
Jordan,2019,391.5
Jordan,2020,381
Jordan,2021,370.5
Jordan,2022,360
Jordan,2023,367.347031963471
Jordan,2024,363.762557077625
Jordan,2025,360.178082191781
South Korea,2006,542
South Korea,2007,541.666666666667
South Korea,2008,541.333333333333
South Korea,2009,541
South Korea,2010,541.666666666667
South Korea,2011,542.333333333333
South Korea,2012,543
South Korea,2013,535
South Korea,2014,527
South Korea,2015,519
South Korea,2016,519.333333333333
South Korea,2017,519.666666666667
South Korea,2018,520
South Korea,2019,521.5
South Korea,2020,523
South Korea,2021,524.5
South Korea,2022,526
South Korea,2023,518.324200913242
South Korea,2024,516.936073059361
South Korea,2025,515.54794520548
Germany,2006,505
Germany,2007,506.666666666667
Germany,2008,508.333333333333
Germany,2009,510
Germany,2010,511.666666666667
Germany,2011,513.333333333333
Germany,2012,515
Germany,2013,512.666666666667
Germany,2014,510.333333333333
Germany,2015,508
Germany,2016,505.333333333333
Germany,2017,502.666666666667
Germany,2018,500
Germany,2019,498
Germany,2020,496
Germany,2021,494
Germany,2022,492
Germany,2023,489.223744292238
Germany,2024,486.899543378995
Germany,2025,484.575342465753
Sweden,2006,504
Sweden,2007,501
Sweden,2008,498
Sweden,2009,495
Sweden,2010,490.666666666667
Sweden,2011,486.333333333333
Sweden,2012,482
Sweden,2013,486.666666666667
Sweden,2014,491.333333333333
Sweden,2015,496
Sweden,2016,497.666666666667
Sweden,2017,499.333333333333
Sweden,2018,501
Sweden,2019,499
Sweden,2020,497
Sweden,2021,495
Sweden,2022,493
Sweden,2023,499.506849315068
Sweden,2024,500.547945205479
Sweden,2025,501.589041095891
United Kingdom,2006,502
United Kingdom,2007,501.333333333333
United Kingdom,2008,500.666666666667
United Kingdom,2009,500
United Kingdom,2010,501
United Kingdom,2011,502
United Kingdom,2012,503
United Kingdom,2013,502
United Kingdom,2014,501
United Kingdom,2015,500
United Kingdom,2016,500.666666666667
United Kingdom,2017,501.333333333333
United Kingdom,2018,502
United Kingdom,2019,500
United Kingdom,2020,498
United Kingdom,2021,496
United Kingdom,2022,494
United Kingdom,2023,494.812785388128
United Kingdom,2024,494.022831050228
United Kingdom,2025,493.232876712329
Japan,2006,517
Japan,2007,521
Japan,2008,525
Japan,2009,529
Japan,2010,532.666666666667
Japan,2011,536.333333333333
Japan,2012,540
Japan,2013,536.333333333333
Japan,2014,532.666666666667
Japan,2015,529
Japan,2016,526
Japan,2017,523
Japan,2018,520
Japan,2019,523.25
Japan,2020,526.5
Japan,2021,529.75
Japan,2022,533
Japan,2023,525.648401826484
Japan,2024,524.872146118721
Japan,2025,524.095890410959
Canada,2006,529
Canada,2007,528.333333333333
Canada,2008,527.666666666667
Canada,2009,527
Canada,2010,525.333333333333
Canada,2011,523.666666666667
Canada,2012,522
Canada,2013,522.666666666667
Canada,2014,523.333333333333
Canada,2015,524
Canada,2016,521.666666666667
Canada,2017,519.333333333333
Canada,2018,517
Canada,2019,514.25
Canada,2020,511.5
Canada,2021,508.75
Canada,2022,506
Canada,2023,506.54794520548
Canada,2024,504.835616438356
Canada,2025,503.123287671233
