ISO,Year (N),Rank N,Score N
TUR,2005,98,77.4193548387097
POL,2005,53,88.9400921658986
BRA,2005,63,87.0967741935484
DEU,2005,18,96.7741935483871
JPN,2005,37,93.0875576036866
GBR,2005,24,95.6958525345622
JOR,2005,96,78.3410138248848
CAN,2005,21,96.3133640552995
SWE,2005,12,98.6175115207373
KOR,2005,34,93.5483870967742
MYS,2005,113,70.0460829493088
TUR,2006,100,77.4193548387097
POL,2006,60,87.5576036866359
BRA,2006,75,84.6359447004608
DEU,2006,23,95.3917050691244
JPN,2006,51,88.9400921658986
GBR,2006,28,94.4700460829493
JOR,2006,110,75.1152073732719
CAN,2006,18,96.3133640552995
SWE,2006,15,96.7741935483871
KOR,2006,31,93.3179723502304
MYS,2006,92,79.9539170506913
TUR,2007,101,73.2456140350877
POL,2007,56,84.4298245614035
BRA,2007,84,78.5087719298246
DEU,2007,20,95.6140350877193
JPN,2007,37,90.3508771929825
GBR,2007,24,93.421052631579
JOR,2007,122,65.3859649122807
CAN,2007,18,96.3771929824561
SWE,2007,5,99.3421052631579
KOR,2007,39,90.0175438596491
MYS,2007,124,64.6929824561403
TUR,2008,102,77.8645833333333
POL,2008,47,92.1875
BRA,2008,82,82.8125
DEU,2008,20,96.875
JPN,2008,29,94.7916666666667
GBR,2008,23,95.8333333333333
JOR,2008,128,64.0625
CAN,2008,13,98.09375
SWE,2008,7,98.4375
KOR,2008,47,92.1875
MYS,2008,132,60.4166666666667
TUR,2009,122,66.8831168831169
POL,2009,37,91.7748917748918
BRA,2009,71,86.2554112554113
DEU,2009,18,96.969696969697
JPN,2009,17,97.1861471861472
GBR,2009,20,96.5367965367965
JOR,2009,112,72.4025974025974
CAN,2009,19,96.7965367965368
SWE,2009,1,100
KOR,2009,69,86.4357864329004
MYS,2009,131,61.6883116883117
TUR,2010,138,53.0952380952381
POL,2010,32,91.5428571428571
BRA,2010,58,84.1904761904762
DEU,2010,17,95.952380952381
JPN,2010,12,97.6190476190476
GBR,2010,19,94.2857142857143
JOR,2010,120,64.7619047619048
CAN,2010,21,93.3333333333333
SWE,2010,5,100
KOR,2010,42,87.3047619047619
MYS,2010,141,51.6666666666667
TUR,2011,148,47.3684210526316
POL,2011,24,93.8618421052632
BRA,2011,99,70.1776315789474
DEU,2011,18,95.3947368421053
JPN,2011,22,94.0789473684211
GBR,2011,28,92.1052631578947
JOR,2011,128,56.0526315789474
CAN,2011,10,97.1513157894737
SWE,2011,12,97.0394736842105
KOR,2011,44,85.0855263157895
MYS,2011,124,56.5789473684211
TUR,2013,154,53.44
POL,2013,22,86.89
BRA,2013,108,67.25
DEU,2013,17,89.76
JPN,2013,53,74.83
GBR,2013,29,83.11
JOR,2013,134,61.53
CAN,2013,20,87.31
SWE,2013,10,90.77
KOR,2013,50,75.52
MYS,2013,145,57.27
TUR,2014,154,54.13
POL,2014,19,88.97
BRA,2014,111,65.97
DEU,2014,14,89.77
JPN,2014,59,73.98
GBR,2014,33,80.07
JOR,2014,141,59.58
CAN,2014,18,89.01
SWE,2014,10,91.02
KOR,2014,57,74.34
MYS,2014,147,57.27
TUR,2015,149,55.84
POL,2015,18,87.29
BRA,2015,99,68.07
DEU,2015,12,88.53
