Kategori: Tüm kategoriler

Ay,Konzert: (Almanya),Kino: (Almanya),Museum: (Almanya),Buch: (Almanya),Theater: (Almanya)
2004-01,12,78,21,25,33
2004-02,13,72,23,23,28
2004-03,13,73,26,24,28
2004-04,14,66,23,23,26
2004-05,14,71,22,22,25
2004-06,17,70,22,22,21
2004-07,12,90,21,23,20
2004-08,10,89,22,20,19
2004-09,12,79,21,24,26
2004-10,14,85,23,26,35
2004-11,14,73,22,26,37
2004-12,15,76,19,32,39
2005-01,12,78,22,24,30
2005-02,14,76,20,26,29
2005-03,11,76,23,25,29
2005-04,13,58,20,26,29
2005-05,11,71,21,23,25
2005-06,16,54,17,22,23
2005-07,13,82,19,22,18
2005-08,11,80,22,22,21
2005-09,11,57,17,24,27
2005-10,13,79,21,25,31
2005-11,19,91,16,27,38
2005-12,15,81,15,32,37
2006-01,10,81,19,25,31
2006-02,11,80,20,25,28
2006-03,11,76,20,24,29
2006-04,11,95,22,23,24
2006-05,13,75,22,23,23
2006-06,10,50,19,21,19
2006-07,15,81,18,20,17
2006-08,13,88,26,21,20
2006-09,11,72,20,23,24
2006-10,13,96,21,24,31
2006-11,14,81,18,25,33
2006-12,14,84,20,29,36
2007-01,10,84,23,23,29
2007-02,11,83,20,22,27
2007-03,12,72,20,23,26
2007-04,11,72,19,21,22
2007-05,12,76,19,22,24
2007-06,18,72,17,22,21
2007-07,12,95,19,22,18
2007-08,9,80,20,20,18
2007-09,10,73,18,23,25
2007-10,12,78,20,24,30
2007-11,13,66,17,26,33
2007-12,13,83,16,28,33
2008-01,9,90,17,24,26
2008-02,9,92,17,24,26
2008-03,10,99,21,22,24
2008-04,10,59,18,25,23
2008-05,11,62,16,22,19
2008-06,11,49,15,21,18
2008-07,9,83,18,21,16
2008-08,10,80,18,20,16
2008-09,10,67,16,22,23
2008-10,13,84,18,24,25
2008-11,12,78,16,26,29
2008-12,13,87,15,28,30
2009-01,10,96,17,24,25
2009-02,9,91,19,22,24
2009-03,12,82,19,23,23
2009-04,9,63,18,21,20
2009-05,11,66,20,21,18
2009-06,12,65,19,21,19
2009-07,10,92,18,19,16
2009-08,9,79,18,19,15
2009-09,9,73,16,21,21
2009-10,12,88,20,22,26
2009-11,13,82,17,24,28
2009-12,12,90,16,28,29
2010-01,8,89,17,22,23
2010-02,9,85,18,21,21
2010-03,9,75,18,21,22
2010-04,8,56,17,20,19
2010-05,10,63,18,20,18
2010-06,8,45,14,20,16
2010-07,8,74,16,20,13
