Kategori: Tüm kategoriler

Ay,حفلة موسيقية: (Ürdün),سينما: (Ürdün),متحف: (Ürdün),كتاب: (Ürdün),مسرح: (Ürdün)
2004-01,0,0,0,27,0
2004-02,0,0,0,28,0
2004-03,0,0,0,48,0
2004-04,0,0,0,35,0
2004-05,0,0,0,38,0
2004-06,0,0,0,20,0
2004-07,0,0,0,21,0
2004-08,0,0,0,30,0
2004-09,0,0,0,37,0
2004-10,0,0,0,46,0
2004-11,0,0,0,32,0
2004-12,0,0,0,32,0
2005-01,0,0,0,33,0
2005-02,0,0,0,33,0
2005-03,0,0,0,49,0
2005-04,0,0,0,28,0
2005-05,0,0,0,27,0
2005-06,0,17,0,23,0
2005-07,0,10,0,35,0
2005-08,0,0,0,31,0
2005-09,0,0,0,26,0
2005-10,0,0,0,47,0
2005-11,0,0,0,33,0
2005-12,0,0,0,44,0
2006-01,0,0,0,31,0
2006-02,0,0,0,39,0
2006-03,0,0,0,37,0
2006-04,0,0,0,39,0
2006-05,0,0,0,33,0
2006-06,0,0,0,19,0
2006-07,0,7,0,23,0
2006-08,0,7,5,29,0
2006-09,0,5,0,39,0
2006-10,0,0,0,38,0
2006-11,0,0,0,35,0
2006-12,0,6,0,24,0
2007-01,0,8,0,30,0
2007-02,0,5,0,36,0
2007-03,0,4,0,37,0
2007-04,0,4,0,39,0
2007-05,0,4,0,35,0
2007-06,0,5,0,30,0
2007-07,0,6,3,29,0
2007-08,0,6,3,28,0
2007-09,0,7,0,48,0
2007-10,0,4,4,46,0
2007-11,0,6,3,41,0
2007-12,0,6,0,38,2
2008-01,0,4,4,33,0
2008-02,0,6,0,38,0
2008-03,0,5,0,46,0
2008-04,0,3,0,44,0
2008-05,0,4,3,38,0
2008-06,0,5,3,32,0
2008-07,0,6,0,35,0
2008-08,0,6,0,33,0
2008-09,0,5,0,49,0
2008-10,0,5,3,47,0
2008-11,0,4,3,51,0
2008-12,0,5,0,39,0
2009-01,0,5,0,30,0
2009-02,0,4,0,45,0
2009-03,0,4,2,48,0
2009-04,0,4,2,46,0
2009-05,0,5,3,41,0
2009-06,0,6,0,31,0
2009-07,0,7,0,34,0
2009-08,0,4,2,34,0
2009-09,0,4,1,39,0
2009-10,0,4,3,51,0
2009-11,0,5,3,43,0
2009-12,0,6,2,43,0
2010-01,0,5,2,36,0
2010-02,0,5,0,38,0
2010-03,0,5,3,43,0
2010-04,0,5,1,43,0
2010-05,0,5,2,38,1
2010-06,0,7,2,32,0
2010-07,0,5,2,32,0
2010-08,0,5,1,27,0
2010-09,0,5,0,38,0
2010-10,0,4,2,44,0
2010-11,0,6,2,35,0
2010-12,0,5,1,37,1
2011-01,0,6,1,28,<1
2011-02,0,5,1,33,<1
2011-03,0,4,1,36,1
2011-04,0,4,1,32,1
2011-05,0,5,1,30,1
2011-06,0,5,1,27,1
2011-07,0,5,1,24,1
2011-08,0,4,1,23,<1
2011-09,0,5,1,31,1
2011-10,0,4,1,37,1
2011-11,0,7,1,30,1
2011-12,0,7,2,29,1
2012-01,0,6,1,24,1
2012-02,0,5,1,27,1
2012-03,0,4,1,29,1
2012-04,0,4,2,28,1
2012-05,0,4,2,26,1
2012-06,0,4,1,22,1
2012-07,0,4,1,25,1
2012-08,0,4,1,23,1
2012-09,0,3,1,32,1
2012-10,0,4,1,31,1
2012-11,0,4,2,29,1
2012-12,0,4,1,29,1
2013-01,0,5,1,21,<1
2013-02,0,5,1,30,<1
2013-03,0,4,1,31,1
2013-04,0,4,2,30,1
2013-05,0,5,2,25,1
2013-06,0,5,1,23,1
2013-07,0,4,1,22,1
2013-08,0,5,1,25,1
2013-09,0,4,1,31,1
2013-10,0,5,1,30,1
2013-11,0,4,2,32,1
2013-12,0,4,1,28,1
2014-01,0,5,1,25,1
2014-02,0,4,1,30,1
2014-03,0,4,2,31,1
2014-04,0,5,2,28,1
2014-05,0,4,1,30,1
2014-06,0,5,1,21,1
2014-07,0,5,1,23,<1
2014-08,0,7,1,25,<1
2014-09,0,4,1,32,1
2014-10,0,7,1,31,1
2014-11,0,5,1,37,1
2014-12,0,7,2,34,1
2015-01,0,7,1,26,1
2015-02,0,6,1,33,1
2015-03,0,6,2,36,1
2015-04,0,8,2,31,1
2015-05,0,5,1,29,1
2015-06,0,5,1,25,1
2015-07,0,7,2,21,1
2015-08,0,7,2,27,1
2015-09,0,7,1,30,1
2015-10,0,7,1,37,2
2015-11,0,6,2,38,2
2015-12,0,7,2,40,2
2016-01,0,8,2,32,3
