Kategori: Tüm kategoriler

Ay,koncert: (Polonya),kino: (Polonya),muzeum: (Polonya),książka: (Polonya),teatr: (Polonya)
2004-01,7,37,12,35,35
2004-02,9,47,11,32,38
2004-03,9,39,12,28,36
2004-04,9,26,13,27,29
2004-05,13,29,14,25,29
2004-06,11,33,11,30,21
2004-07,8,44,13,29,12
2004-08,8,36,15,32,13
2004-09,7,31,15,30,31
2004-10,7,35,17,29,39
2004-11,8,40,16,28,41
2004-12,8,33,12,31,30
2005-01,8,34,13,28,34
2005-02,10,42,14,29,38
2005-03,9,32,14,29,35
2005-04,8,26,14,26,29
2005-05,12,34,16,26,26
2005-06,11,33,15,28,22
2005-07,16,40,14,34,12
2005-08,18,38,15,28,14
2005-09,18,29,14,27,27
2005-10,9,36,14,27,36
2005-11,9,47,15,26,43
2005-12,8,35,12,30,31
2006-01,7,51,12,28,38
2006-02,9,63,13,31,41
2006-03,11,51,14,28,37
2006-04,8,35,14,30,25
2006-05,11,37,17,27,25
2006-06,11,31,13,25,19
2006-07,10,38,13,26,11
2006-08,12,42,14,27,15
2006-09,9,35,14,27,27
2006-10,8,40,14,28,37
2006-11,8,41,13,27,39
2006-12,7,36,11,28,27
2007-01,7,52,13,25,35
2007-02,10,61,14,25,38
2007-03,9,43,13,24,32
2007-04,11,30,12,22,26
2007-05,12,31,17,23,27
2007-06,18,38,12,22,18
2007-07,17,55,13,23,11
2007-08,11,44,14,22,15
2007-09,9,36,12,22,28
2007-10,9,39,11,22,35
2007-11,9,39,12,22,35
2007-12,10,37,9,23,26
2008-01,9,48,10,22,33
2008-02,9,67,11,19,33
2008-03,10,48,10,21,30
2008-04,9,38,14,21,30
2008-05,16,32,16,19,24
2008-06,14,30,11,20,17
2008-07,13,42,12,19,9
2008-08,13,46,12,18,11
2008-09,10,37,11,19,29
2008-10,10,46,11,20,36
2008-11,10,51,13,19,37
2008-12,8,41,9,22,28
2009-01,9,54,10,22,34
2009-02,12,60,11,22,35
2009-03,13,53,12,23,30
2009-04,11,33,13,22,23
2009-05,15,40,18,20,23
2009-06,17,44,13,19,18
2009-07,13,59,14,20,10
2009-08,23,56,15,20,13
2009-09,12,52,14,22,25
2009-10,12,56,13,21,34
2009-11,13,77,12,23,35
2009-12,10,60,10,26,25
2010-01,10,80,11,24,33
2010-02,12,77,12,24,34
2010-03,11,54,14,25,29
2010-04,10,42,14,22,21
2010-05,16,51,18,22,23
2010-06,14,50,13,21,17
2010-07,10,69,14,20,10
2010-08,13,65,15,21,12
2010-09,12,44,14,19,25
2010-10,11,52,13,19,31
2010-11,12,57,13,20,29
2010-12,10,44,8,21,21
2011-01,11,69,12,22,30
2011-02,11,74,14,21,32
2011-03,11,59,14,22,29
2011-04,11,44,14,20,23
2011-05,14,51,18,20,21
2011-06,16,51,13,19,17
2011-07,14,71,15,19,11
2011-08,13,60,14,19,12
2011-09,12,47,13,20,24
2011-10,11,61,12,22,31
2011-11,12,79,13,24,33
2011-12,11,57,10,25,24
2012-01,10,69,12,23,28
2012-02,10,72,12,22,29
2012-03,10,52,12,20,27
2012-04,10,45,12,19,21
