Kategori: Tüm kategoriler

Ay,콘서트: (Güney Kore),영화: (Güney Kore),박물관: (Güney Kore),책: (Güney Kore),연극: (Güney Kore)
2004-01,2,38,4,7,1
2004-02,1,32,4,7,1
2004-03,2,25,3,6,2
2004-04,1,29,4,7,2
2004-05,1,31,5,5,2
2004-06,2,29,5,5,2
2004-07,1,33,5,5,2
2004-08,3,31,7,5,2
2004-09,2,27,6,5,2
2004-10,2,26,7,4,2
2004-11,2,27,5,6,2
2004-12,4,31,4,6,3
2005-01,2,25,4,6,0
2005-02,2,26,3,6,1
2005-03,1,23,4,6,2
2005-04,2,25,6,7,2
2005-05,1,25,5,6,1
2005-06,2,24,5,6,2
2005-07,1,25,6,5,2
2005-08,2,26,6,6,1
2005-09,1,22,5,5,1
2005-10,1,22,7,6,2
2005-11,2,23,7,6,2
2005-12,2,23,5,5,2
2006-01,1,22,6,6,1
2006-02,1,17,5,5,1
2006-03,1,18,5,6,2
2006-04,1,20,5,6,2
2006-05,1,19,5,6,2
2006-06,1,19,5,5,1
2006-07,1,20,5,5,1
2006-08,1,18,6,5,1
2006-09,1,16,6,6,1
2006-10,1,19,6,5,1
2006-11,1,18,5,6,2
2006-12,2,20,6,5,1
2007-01,1,16,5,6,1
2007-02,1,16,5,5,1
2007-03,1,17,4,5,1
2007-04,1,16,4,5,1
2007-05,1,20,5,5,1
2007-06,1,20,4,5,1
2007-07,1,19,5,4,1
2007-08,1,19,5,5,1
2007-09,1,18,6,4,1
2007-10,1,17,5,5,1
2007-11,1,18,4,5,1
2007-12,1,20,4,5,1
2008-01,1,19,4,5,<1
2008-02,1,18,4,5,1
2008-03,1,16,3,5,1
2008-04,1,17,4,5,1
2008-05,1,18,4,5,1
2008-06,1,19,3,5,1
2008-07,1,20,4,4,1
2008-08,1,20,4,5,1
2008-09,1,18,4,5,1
2008-10,1,17,5,5,1
2008-11,1,17,3,5,1
2008-12,2,18,3,4,1
2009-01,1,19,3,4,1
2009-02,1,16,3,5,1
2009-03,1,14,3,5,1
2009-04,1,15,4,5,1
2009-05,1,18,4,5,1
2009-06,1,15,4,4,1
2009-07,1,15,4,4,1
2009-08,2,15,4,4,1
2009-09,2,15,4,6,2
2009-10,2,15,4,6,1
2009-11,2,16,4,5,2
2009-12,5,19,3,5,3
2010-01,2,18,3,6,2
2010-02,2,17,3,5,1
2010-03,2,16,3,6,1
2010-04,3,21,3,6,1
2010-05,3,21,4,6,2
2010-06,2,17,3,6,1
2010-07,3,23,3,5,4
2010-08,4,23,4,5,2
2010-09,11,64,4,7,2
2010-10,11,43,5,8,3
2010-11,13,43,5,7,2
2010-12,15,62,4,8,3
2011-01,15,47,5,10,2
2011-02,6,36,4,6,1
2011-03,4,26,3,6,1
2011-04,4,27,4,6,1
2011-05,6,30,4,6,2
2011-06,5,29,4,6,1
2011-07,5,30,5,5,1
2011-08,5,30,7,5,1
2011-09,6,31,4,6,1
2011-10,8,33,5,6,1
2011-11,10,33,4,6,2
2011-12,7,33,4,6,1
2012-01,8,52,4,7,1
2012-02,12,41,4,7,2
2012-03,10,39,4,8,1
2012-04,5,28,4,6,1
2012-05,6,29,5,5,1
2012-06,5,30,4,6,1
2012-07,5,33,5,6,1
2012-08,5,33,7,5,1
2012-09,5,30,4,6,1
2012-10,6,29,4,5,1
2012-11,5,30,4,5,2
2012-12,6,39,4,5,2
2013-01,4,38,5,6,1
2013-02,5,38,4,5,1
2013-03,4,31,4,6,1
2013-04,5,31,4,5,1
2013-05,4,34,4,5,1
2013-06,5,36,3,5,1
2013-07,4,41,4,5,1
2013-08,5,42,5,5,1
2013-09,5,41,4,5,1
2013-10,5,40,3,5,1
2013-11,5,40,3,5,1
2013-12,6,45,3,5,1
2014-01,4,44,4,5,1
2014-02,4,43,3,5,1
2014-03,4,38,3,5,1
2014-04,4,39,3,5,1
2014-05,4,46,4,4,1
2014-06,5,44,3,5,1
2014-07,4,49,4,5,1
2014-08,5,53,4,5,1
2014-09,5,49,3,5,1
2014-10,5,51,3,5,1
2014-11,4,49,3,5,1
2014-12,5,55,3,5,1
2015-01,4,52,5,5,1
2015-02,4,56,4,5,1
2015-03,4,46,4,5,1
2015-04,3,46,3,5,1
2015-05,4,54,3,5,1
2015-06,3,56,3,5,1
2015-07,3,61,3,4,2
2015-08,3,61,4,4,1
2015-09,3,61,3,5,1
2015-10,3,58,3,4,1
2015-11,3,55,3,5,1
2015-12,3,63,3,5,1
