Kategori: Tüm kategoriler

Ay,konsert: (İsveç),bio: (İsveç),museum: (İsveç),bok: (İsveç),teater: (İsveç)
2004-01,4,46,19,24,15
2004-02,5,41,22,20,18
2004-03,7,31,22,21,16
2004-04,4,28,23,20,13
2004-05,7,26,22,21,11
2004-06,5,26,21,18,10
2004-07,7,31,24,17,11
2004-08,5,29,20,21,13
2004-09,5,31,20,25,17
2004-10,7,35,20,23,18
2004-11,7,35,21,25,18
2004-12,5,32,15,28,13
2005-01,6,42,19,21,14
2005-02,6,39,19,23,13
2005-03,6,33,20,20,15
2005-04,6,26,18,20,14
2005-05,6,32,18,23,11
2005-06,6,27,19,21,9
2005-07,6,28,20,19,10
2005-08,7,29,18,22,11
2005-09,6,34,18,25,15
2005-10,5,35,19,22,16
2005-11,6,43,17,25,17
2005-12,6,56,13,29,15
2006-01,5,60,15,22,13
2006-02,4,54,17,23,14
2006-03,5,42,17,23,14
2006-04,5,42,16,19,13
2006-05,4,32,17,22,11
2006-06,5,29,15,18,9
2006-07,5,45,18,17,9
2006-08,5,39,15,22,10
2006-09,4,40,14,24,13
2006-10,5,40,17,22,17
2006-11,6,48,16,22,15
2006-12,5,47,12,27,13
2007-01,5,49,17,21,12
2007-02,5,44,19,21,13
2007-03,6,35,15,21,13
2007-04,5,33,17,18,11
2007-05,5,35,15,21,10
2007-06,6,30,16,18,9
2007-07,6,50,21,19,9
2007-08,6,34,15,21,10
2007-09,6,34,14,26,14
2007-10,6,36,15,23,14
2007-11,7,31,14,24,13
2007-12,7,39,12,27,11
2008-01,5,42,14,23,12
2008-02,6,38,15,23,12
2008-03,6,35,15,21,11
2008-04,5,26,14,20,11
2008-05,5,25,14,20,9
2008-06,5,30,14,18,7
2008-07,6,47,18,18,8
2008-08,6,48,15,22,10
2008-09,5,37,14,27,12
2008-10,6,45,14,26,14
2008-11,6,37,13,28,13
2008-12,7,38,12,32,10
2009-01,6,55,15,25,12
2009-02,6,47,15,25,12
2009-03,7,45,15,23,12
2009-04,5,32,14,22,10
2009-05,5,30,15,22,8
2009-06,6,32,17,21,8
2009-07,7,61,20,20,9
2009-08,6,39,16,22,11
2009-09,6,50,13,26,12
2009-10,6,57,16,23,13
2009-11,7,58,14,23,13
2009-12,7,61,12,28,11
2010-01,5,75,16,24,11
2010-02,6,56,15,24,11
2010-03,6,42,16,22,11
2010-04,5,30,15,20,8
2010-05,6,29,16,23,9
2010-06,7,30,15,20,7
2010-07,7,40,20,19,9
2010-08,7,40,17,21,9
2010-09,5,35,14,24,11
2010-10,6,43,15,23,13
2010-11,7,48,14,24,10
2010-12,7,46,10,34,9
2011-01,5,60,15,24,12
2011-02,5,55,17,23,11
2011-03,6,43,14,22,11
2011-04,5,36,14,21,8
2011-05,6,35,14,23,8
2011-06,6,34,15,19,6
2011-07,7,53,18,19,9
2011-08,7,44,16,23,9
2011-09,5,45,13,27,11
2011-10,6,50,14,25,12
2011-11,7,51,13,32,11
2011-12,7,48,11,34,10
2012-01,5,61,14,28,10
2012-02,5,48,14,26,10
2012-03,5,38,14,23,9
2012-04,6,43,15,20,8
2012-05,5,28,14,24,7
2012-06,6,34,15,19,6
2012-07,10,47,20,19,8
2012-08,7,39,15,24,8
2012-09,5,44,14,31,10
2012-10,5,55,14,28,11
2012-11,8,53,13,29,10
2012-12,7,60,11,34,9
2013-01,5,57,12,27,9
2013-02,5,51,13,26,10
2013-03,5,41,14,23,9
2013-04,8,33,14,25,9
2013-05,7,30,21,25,8
2013-06,6,34,18,23,7
2013-07,9,42,23,22,9
2013-08,7,44,17,26,9
2013-09,6,43,15,30,10
2013-10,7,47,18,28,11
2013-11,7,46,15,32,10
2013-12,7,69,12,36,9
2014-01,5,66,15,29,10
2014-02,6,53,17,29,9
2014-03,6,37,16,27,10
2014-04,5,33,16,26,8
2014-05,7,30,15,27,7
2014-06,7,31,17,24,7
2014-07,8,38,22,24,8
2014-08,7,42,19,28,8
2014-09,5,40,14,31,10
2014-10,6,54,18,29,11
2014-11,8,52,14,34,10
2014-12,7,65,11,36,9
2015-01,5,70,15,30,9
2015-02,5,68,18,30,10
2015-03,6,42,16,29,9
2015-04,5,43,18,27,8
2015-05,6,31,17,28,7
2015-06,6,35,19,23,6
2015-07,8,51,28,26,9
2015-08,8,38,19,28,8
2015-09,7,51,15,33,10
2015-10,7,65,17,30,10
2015-11,8,64,14,36,10
2015-12,9,85,13,41,10
2016-01,6,88,15,35,9
2016-02,7,68,19,33,9
2016-03,7,51,19,31,8
2016-04,7,40,16,29,9
2016-05,7,30,15,31,7
2016-06,9,36,18,27,7
2016-07,10,52,28,27,9
2016-08,9,57,23,31,9
2016-09,8,50,15,36,10
2016-10,9,55,17,36,10
2016-11,10,55,15,42,10
2016-12,10,63,12,49,10
2017-01,7,71,17,39,9
2017-02,8,67,18,38,9
2017-03,7,55,17,35,9
2017-04,6,54,18,33,8
2017-05,9,34,17,33,6
2017-06,10,43,20,29,7
2017-07,11,50,30,30,9
2017-08,8,51,23,35,8
2017-09,7,70,18,38,9
2017-10,8,62,19,39,10
2017-11,9,66,17,44,11
2017-12,9,100,14,51,9
2018-01,6,90,19,38,9
2018-02,9,76,19,34,9
2018-03,8,59,19,40,8
2018-04,8,52,19,34,8
2018-05,8,32,17,34,6
2018-06,10,41,21,30,7
2018-07,12,58,27,31,8
2018-08,9,66,24,36,8
2018-09,7,71,19,41,9
2018-10,8,83,20,40,11
2018-11,9,83,18,46,11
2018-12,10,84,15,51,9
2019-01,7,83,18,42,9
2019-02,8,71,19,38,9
2019-03,8,56,19,38,10
2019-04,7,57,19,37,12
2019-05,9,47,20,35,11
2019-06,11,36,22,32,8
2019-07,14,62,34,32,9
2019-08,12,59,27,38,8
2019-09,8,65,20,43,9
2019-10,9,74,21,40,11
2019-11,10,63,17,44,10
2019-12,13,88,15,51,9
2020-01,6,80,19,43,8
2020-02,10,76,20,44,10
2020-03,7,31,10,39,7
2020-04,3,12,8,38,3
2020-05,2,11,8,43,3
2020-06,2,10,10,41,3
2020-07,2,20,25,37,3
2020-08,2,22,15,41,4
2020-09,2,30,12,47,5
2020-10,2,37,14,45,5
2020-11,2,17,8,48,3
2020-12,2,12,7,53,3
2021-01,2,12,8,45,3
2021-02,1,13,9,41,3
2021-03,2,11,8,40,3
2021-04,2,12,9,39,3
2021-05,2,12,9,37,3
2021-06,4,24,11,36,4
2021-07,7,40,26,34,5
2021-08,7,40,24,42,6
2021-09,8,51,17,44,8
2021-10,10,66,16,45,10
2021-11,14,53,15,48,9
2021-12,10,62,11,53,7
2022-01,5,48,13,46,6
2022-02,8,49,18,40,8
2022-03,10,44,17,40,8
2022-04,12,44,22,39,7
2022-05,13,35,22,38,7
2022-06,19,34,24,33,7
2022-07,23,48,39,34,8
2022-08,23,40,27,40,7
2022-09,11,49,20,45,8
2022-10,11,60,22,43,10
2022-11,11,52,20,48,9
2022-12,12,61,17,48,8
2023-01,9,67,22,45,8
2023-02,12,57,23,43,9
2023-03,12,46,21,40,10
2023-04,14,43,24,38,8
2023-05,16,29,20,38,7
2023-06,22,29,24,36,8
2023-07,28,74,48,37,9
2023-08,18,57,32,41,7
2023-09,14,48,22,45,8
2023-10,12,56,24,48,10
2023-11,12,50,20,54,10
2023-12,15,58,17,51,9
2024-01,12,58,20,44,8
2024-02,11,53,23,43,9
2024-03,13,49,23,42,9
2024-04,11,43,23,40,9
2024-05,17,25,21,38,6
2024-06,19,32,27,36,7
2024-07,26,54,44,36,8
2024-08,24,50,29,42,8
2024-09,13,41,20,46,9
2024-10,20,50,23,46,11
2024-11,14,48,18,53,11
2024-12,16,58,18,61,10
2025-01,13,54,20,55,9
2025-02,21,50,23,45,9
2025-03,24,35,20,45,8
2025-04,14,40,22,41,7
2025-05,17,29,21,44,8
