Kategori: Tüm kategoriler

Ay,konser: (Türkiye),sinema: (Türkiye),müze: (Türkiye),kitap: (Türkiye),tiyatro: (Türkiye)
2004-01,4,65,3,57,23
2004-02,5,62,2,56,21
2004-03,4,51,2,61,25
2004-04,4,50,3,62,25
2004-05,7,56,3,55,20
2004-06,7,49,2,44,11
2004-07,7,43,1,33,8
2004-08,5,46,2,36,8
2004-09,5,48,2,43,13
2004-10,6,51,3,62,18
2004-11,4,65,2,53,19
2004-12,5,54,2,58,18
2005-01,6,61,2,54,15
2005-02,6,51,2,56,18
2005-03,4,50,2,71,23
2005-04,5,43,2,55,17
2005-05,7,42,3,50,13
2005-06,8,38,2,35,9
2005-07,8,40,1,32,7
2005-08,7,38,1,33,7
2005-09,5,37,1,39,10
2005-10,4,37,2,47,16
2005-11,4,52,2,42,17
2005-12,4,62,2,44,16
2006-01,4,68,1,39,12
2006-02,4,71,2,41,18
2006-03,4,40,2,45,20
2006-04,4,37,2,38,18
2006-05,5,34,2,32,13
2006-06,6,30,1,25,7
2006-07,7,31,1,22,5
2006-08,6,31,1,22,5
2006-09,5,33,1,26,8
2006-10,4,41,1,38,14
2006-11,3,42,2,37,17
2006-12,3,40,2,36,15
2007-01,3,46,1,35,12
2007-02,3,44,1,32,13
2007-03,4,42,2,35,15
2007-04,3,34,2,30,12
2007-05,6,32,6,30,10
2007-06,6,30,1,22,6
2007-07,5,31,1,20,4
2007-08,6,34,1,22,4
2007-09,4,33,1,27,7
2007-10,4,36,1,35,12
2007-11,4,43,1,33,15
2007-12,3,54,1,31,11
2008-01,3,55,1,32,10
2008-02,4,62,1,28,11
2008-03,4,58,1,28,14
2008-04,5,41,3,29,12
2008-05,6,38,4,27,9
2008-06,6,41,1,19,5
2008-07,7,49,1,18,4
2008-08,7,52,1,18,4
2008-09,3,47,1,29,7
2008-10,4,56,2,32,10
2008-11,3,69,1,32,12
2008-12,3,91,1,29,9
2009-01,3,65,1,28,9
2009-02,3,73,2,28,11
2009-03,3,59,2,29,11
2009-04,4,60,4,29,9
2009-05,5,52,4,26,7
2009-06,5,53,1,21,4
2009-07,6,60,1,18,4
2009-08,4,55,1,20,3
2009-09,3,53,1,24,4
2009-10,4,64,1,35,9
2009-11,3,77,1,30,8
2009-12,3,74,1,34,9
2010-01,3,83,1,29,8
2010-02,3,72,2,30,9
2010-03,4,66,2,31,11
2010-04,4,56,2,31,9
2010-05,6,46,3,29,7
2010-06,5,46,1,21,4
2010-07,6,52,1,18,3
2010-08,4,49,1,18,3
2010-09,4,46,1,21,5
2010-10,4,51,1,32,9
2010-11,3,61,1,29,8
2010-12,3,55,1,31,8
2011-01,3,63,1,30,8
2011-02,3,64,1,28,9
2011-03,3,50,2,33,9
2011-04,4,47,2,30,9
2011-05,5,43,3,27,7
2011-06,5,42,1,20,4
2011-07,6,49,1,19,3
2011-08,3,54,1,21,3
2011-09,4,52,1,26,4
2011-10,3,53,1,34,8
2011-11,3,70,1,34,8
2011-12,3,69,1,32,9
2012-01,3,68,1,29,8
2012-02,3,74,1,31,9
2012-03,3,58,1,30,10
2012-04,4,45,2,29,8
2012-05,5,42,2,26,7
2012-06,7,43,1,19,3
2012-07,5,50,1,20,3
2012-08,3,47,1,19,3
2012-09,5,40,1,24,4
2012-10,4,39,1,30,6
2012-11,3,58,1,33,8
2012-12,3,54,1,31,7
2013-01,2,66,1,28,6
2013-02,4,61,2,30,8
2013-03,4,46,2,30,8
2013-04,4,40,1,32,7
2013-05,7,35,2,26,6
2013-06,4,35,1,20,3
2013-07,4,35,1,21,2
2013-08,4,40,1,20,2
2013-09,5,33,1,28,4
2013-10,4,45,1,34,6
2013-11,3,56,1,36,8
2013-12,3,73,1,33,8
2014-01,3,68,1,34,8
2014-02,3,87,1,31,7
2014-03,4,64,1,33,7
2014-04,3,51,1,32,8
2014-05,4,39,2,31,7
2014-06,4,39,1,23,3
2014-07,3,36,1,22,2
2014-08,5,38,1,22,2
2014-09,5,37,1,31,4
2014-10,4,59,1,35,6
2014-11,4,70,1,37,8
2014-12,3,71,1,36,8
2015-01,2,83,1,33,7
2015-02,3,74,1,36,7
2015-03,3,63,1,40,9
2015-04,4,60,1,36,8
2015-05,6,43,1,32,6
2015-06,4,36,1,26,3
2015-07,4,36,1,23,2
2015-08,4,38,1,24,3
2015-09,4,46,1,28,3
2015-10,3,55,1,44,6
2015-11,4,52,1,42,8
2015-12,3,73,1,43,8
2016-01,3,80,1,41,8
2016-02,3,73,1,41,8
2016-03,3,53,1,45,9
2016-04,3,41,1,38,8
2016-05,4,44,1,37,7
2016-06,3,37,1,31,4
2016-07,3,36,1,25,3
2016-08,4,41,1,28,3
2016-09,5,43,1,37,4
2016-10,5,55,1,46,7
2016-11,4,68,1,44,10
2016-12,3,68,1,41,8
2017-01,3,82,1,42,8
2017-02,4,93,1,46,9
2017-03,4,64,1,49,11
2017-04,4,63,1,43,9
2017-05,5,43,2,39,7
2017-06,4,47,1,32,3
2017-07,6,48,1,31,3
