Country,Year,Score
Turkey,2013,61
Germany,2013,96
Japan,2013,88
Brazil,2013,81
Poland,2013,93
United Kingdom,2013,97
Canada,2013,98
Jordan,2013,34
Sweden,2013,100
South Korea,2013,86
Malaysia,2013,48
Turkey,2014,60
Germany,2014,96
Japan,2014,90
Brazil,2014,81
Poland,2014,93
United Kingdom,2014,97
Canada,2014,98
Jordan,2014,35
Sweden,2014,99
South Korea,2014,85
Malaysia,2014,47
Turkey,2015,55
Germany,2015,96
Japan,2015,94
Brazil,2015,81
Poland,2015,93
United Kingdom,2015,97
Canada,2015,98
Jordan,2015,36
Sweden,2015,99
South Korea,2015,84
Malaysia,2015,46
Turkey,2016,53
Germany,2016,95
Japan,2016,96
Brazil,2016,81
Poland,2016,93
United Kingdom,2016,95
Canada,2016,99
Jordan,2016,36
Sweden,2016,100
South Korea,2016,83
Malaysia,2016,45
Turkey,2017,38
Germany,2017,95
Japan,2017,96
Brazil,2017,79
Poland,2017,89
United Kingdom,2017,95
Canada,2017,99
Jordan,2017,37
Sweden,2017,100
South Korea,2017,82
Malaysia,2017,44
Turkey,2018,32
Germany,2018,94
Japan,2018,96
Brazil,2018,78
Poland,2018,85
United Kingdom,2018,94
Canada,2018,99
Jordan,2018,37
Sweden,2018,100
South Korea,2018,84
Malaysia,2018,45
Turkey,2019,31
Germany,2019,94
Japan,2019,96
Brazil,2019,75
Poland,2019,84
United Kingdom,2019,93
Canada,2019,99
Jordan,2019,37
Sweden,2019,100
South Korea,2019,83
Malaysia,2019,52
Turkey,2020,32
Germany,2020,94
Japan,2020,96
Brazil,2020,75
Poland,2020,84
United Kingdom,2020,94
Canada,2020,98
Jordan,2020,37
Sweden,2020,100
South Korea,2020,83
Malaysia,2020,52
Turkey,2021,32
Germany,2021,94
Japan,2021,96
Brazil,2021,74
Poland,2021,82
United Kingdom,2021,93
Canada,2021,98
Jordan,2021,34
Sweden,2021,100
South Korea,2021,83
Malaysia,2021,51
Turkey,2022,32
Germany,2022,94
Japan,2022,96
Brazil,2022,73
Poland,2022,81
United Kingdom,2022,93
Canada,2022,98
Jordan,2022,33
Sweden,2022,100
South Korea,2022,83
Malaysia,2022,50
Turkey,2023,32
Germany,2023,94
Japan,2023,96
Brazil,2023,72
Poland,2023,81
United Kingdom,2023,93
Canada,2023,98
Jordan,2023,33
Sweden,2023,100
South Korea,2023,83
Malaysia,2023,53
Turkey,2024,33
Germany,2024,93
Japan,2024,96
Brazil,2024,72
Poland,2024,80
United Kingdom,2024,91
Canada,2024,97
Jordan,2024,33
Sweden,2024,99
South Korea,2024,83
Malaysia,2024,53
Turkey,2025,33
Germany,2025,95
Japan,2025,96
Brazil,2025,72
Poland,2025,82
United Kingdom,2025,92
Canada,2025,97
Jordan,2025,34
Sweden,2025,99
South Korea,2025,81
Malaysia,2025,53
