Country,Year,Score
Turkey,2005,77.41935483870968
Turkey,2006,77.41935483870968
Turkey,2007,73.24561403508771
Turkey,2008,77.86458333333334
Turkey,2009,66.88311688311688
Turkey,2010,53.095238095238095
Turkey,2011,47.368421052631575
Turkey,2012,
Turkey,2013,57.976
Turkey,2014,57.652
Turkey,2015,55.336
Turkey,2016,51.495999999999995
Turkey,2017,41.608000000000004
Turkey,2018,37.8
Turkey,2019,37.476
Turkey,2020,39.192
Turkey,2021,39.284000000000006
Turkey,2022,35.7
Turkey,2023,32.788
Turkey,2024,32.44
Turkey,2025,31.560000000000002
Germany,2005,96.7741935483871
Germany,2006,95.39170506912444
Germany,2007,95.6140350877193
Germany,2008,96.875
Germany,2009,96.96969696969695
Germany,2010,95.95238095238096
Germany,2011,95.39473684210526
Germany,2012,
Germany,2013,93.50399999999999
Germany,2014,93.508
Germany,2015,93.012
Germany,2016,91.08000000000001
Germany,2017,91.012
Germany,2018,90.644
Germany,2019,90.56
Germany,2020,91.536
Germany,2021,90.304
Germany,2022,89.21600000000001
Germany,2023,89.164
Germany,2024,89.336
Germany,2025,90.53999999999999
Japan,2005,93.08755760368663
Japan,2006,88.94009216589862
Japan,2007,90.35087719298248
Japan,2008,94.79166666666666
Japan,2009,97.18614718614718
Japan,2010,97.61904761904762
Japan,2011,94.07894736842104
Japan,2012,
Japan,2013,82.732
Japan,2014,83.592
Japan,2015,85.62
Japan,2016,86.13199999999999
Japan,2017,85.824
Japan,2018,86.14399999999999
Japan,2019,85.856
Japan,2020,86.056
Japan,2021,86.048
Japan,2022,83.348
Japan,2023,83.17999999999999
Japan,2024,82.448
Japan,2025,82.856
Brazil,2005,87.09677419354838
Brazil,2006,84.63594470046083
Brazil,2007,78.50877192982456
Brazil,2008,82.8125
Brazil,2009,86.25541125541125
Brazil,2010,84.19047619047619
Brazil,2011,70.17763157894737
Brazil,2012,
Brazil,2013,75.5
Brazil,2014,74.988
Brazil,2015,75.828
Brazil,2016,75.55199999999999
Brazil,2017,73.968
Brazil,2018,74.32
Brazil,2019,71.884
Brazil,2020,71.38
Brazil,2021,69.9
Brazil,2022,65.944
Brazil,2023,66.668
Brazil,2024,66.636
Brazil,2025,68.72
Poland,2005,88.94009216589862
Poland,2006,87.55760368663594
Poland,2007,84.4298245614035
Poland,2008,92.1875
Poland,2009,91.77489177489176
Poland,2010,91.54285714285714
Poland,2011,93.86184210526316
Poland,2012,
Poland,2013,90.556
Poland,2014,91.388
Poland,2015,90.71600000000001
Poland,2016,86.244
Poland,2017,82.812
Poland,2018,80.364
Poland,2019,78.844
Poland,2020,78.94
Poland,2021,77.66399999999999
Poland,2022,74.856
Poland,2023,75.664
Poland,2024,75.668
Poland,2025,79.116
United Kingdom,2005,95.6958525345622
United Kingdom,2006,94.47004608294932
United Kingdom,2007,93.42105263157896
United Kingdom,2008,95.83333333333334
United Kingdom,2009,96.53679653679652
United Kingdom,2010,94.28571428571428
United Kingdom,2011,92.10526315789474
United Kingdom,2012,
United Kingdom,2013,91.44399999999999
United Kingdom,2014,90.228
United Kingdom,2015,90.19999999999999
United Kingdom,2016,88.32
United Kingdom,2017,88.096
United Kingdom,2018,87.1
United Kingdom,2019,86.908
United Kingdom,2020,87.228
United Kingdom,2021,87.164
United Kingdom,2022,87.28399999999999
United Kingdom,2023,87.20400000000001
United Kingdom,2024,85.60400000000001
United Kingdom,2025,86.756
Jordan,2005,78.3410138248848
Jordan,2006,75.11520737327189
Jordan,2007,65.3859649122807
Jordan,2008,64.0625
Jordan,2009,72.40259740259741
Jordan,2010,64.76190476190476
Jordan,2011,56.05263157894736
Jordan,2012,
Jordan,2013,45.012
Jordan,2014,44.832
Jordan,2015,44.772
Jordan,2016,43.804
Jordan,2017,44.903999999999996
Jordan,2018,45.516000000000005
Jordan,2019,44.956
Jordan,2020,45.368
Jordan,2021,43.244
Jordan,2022,39.263999999999996
Jordan,2023,36.916
Jordan,2024,37.519999999999996
Jordan,2025,34.5
Canada,2005,96.31336405529954
Canada,2006,96.31336405529954
Canada,2007,96.37719298245614
Canada,2008,98.09375
Canada,2009,96.7965367965368
Canada,2010,93.33333333333331
Canada,2011,97.15131578947368
Canada,2012,
Canada,2013,93.72399999999999
Canada,2014,94.404
Canada,2015,94.404
Canada,2016,93.29599999999999
Canada,2017,92.788
Canada,2018,93.288
Canada,2019,93.124
Canada,2020,92.684
Canada,2021,92.69999999999999
Canada,2022,91.496
Canada,2023,92.21199999999999
Canada,2024,90.88
Canada,2025,89.69999999999999
Sweden,2005,98.61751152073732
Sweden,2006,96.7741935483871
Sweden,2007,99.3421052631579
Sweden,2008,98.4375
Sweden,2009,100.0
Sweden,2010,100.0
Sweden,2011,97.03947368421052
Sweden,2012,
Sweden,2013,96.30799999999999
Sweden,2014,95.80799999999999
Sweden,2015,95.612
Sweden,2016,95.06800000000001
Sweden,2017,96.69200000000001
Sweden,2018,96.676
Sweden,2019,96.676
Sweden,2020,96.30000000000001
Sweden,2021,97.10400000000001
Sweden,2022,95.536
Sweden,2023,95.26
Sweden,2024,94.728
Sweden,2025,94.652
South Korea,2005,93.5483870967742
South Korea,2006,93.31797235023042
South Korea,2007,90.01754385964912
South Korea,2008,92.1875
South Korea,2009,86.43578643290043
South Korea,2010,87.3047619047619
South Korea,2011,85.08552631578947
South Korea,2012,
South Korea,2013,81.80799999999999
South Korea,2014,80.736
South Korea,2015,79.78
South Korea,2016,78.368
South Korea,2017,78.156
South Korea,2018,80.996
South Korea,2019,79.824
South Korea,2020,80.32
South Korea,2021,80.428
South Korea,2022,78.644
South Korea,2023,78.132
South Korea,2024,75.748
South Korea,2025,74.224
Malaysia,2005,70.04608294930875
Malaysia,2006,79.95391705069125
Malaysia,2007,64.69298245614034
Malaysia,2008,60.41666666666666
Malaysia,2009,61.68831168831169
Malaysia,2010,51.66666666666667
Malaysia,2011,56.57894736842105
Malaysia,2012,
Malaysia,2013,51.708
Malaysia,2014,51.108000000000004
Malaysia,2015,50.284
Malaysia,2016,48.372
Malaysia,2017,47.644
Malaysia,2018,48.036
Malaysia,2019,56.504000000000005
Malaysia,2020,57.952
Malaysia,2021,54.812
Malaysia,2022,50.620000000000005
Malaysia,2023,56.932
Malaysia,2024,52.628
Malaysia,2025,54.236000000000004
