Country,Year,Overall_Score
Brazil,2004,33.333333333333336
Brazil,2005,30.766666666666666
Brazil,2006,28.133333333333336
Brazil,2007,25.733333333333334
Brazil,2008,25.71666666666667
Brazil,2009,27.366666666666664
Brazil,2010,27.599999999999998
Brazil,2011,25.28333333333333
Brazil,2012,24.46666666666667
Brazil,2013,24.55
Brazil,2014,25.78333333333333
Brazil,2015,27.8
Brazil,2016,26.666666666666668
Brazil,2017,26.650000000000002
Brazil,2018,25.53333333333333
Brazil,2019,26.25
Brazil,2020,16.566666666666666
Brazil,2021,16.866666666666667
Brazil,2022,21.433333333333334
Brazil,2023,23.349999999999998
Brazil,2024,23.683333333333334
Brazil,2025,22.04
Canada,2004,36.916666666666664
Canada,2005,38.43333333333333
Canada,2006,35.0
Canada,2007,34.833333333333336
Canada,2008,34.25
Canada,2009,34.266666666666666
Canada,2010,30.900000000000002
Canada,2011,33.0
Canada,2012,30.916666666666668
Canada,2013,30.333333333333332
Canada,2014,29.0
Canada,2015,30.099999999999998
Canada,2016,30.083333333333332
Canada,2017,29.900000000000002
Canada,2018,28.21666666666667
Canada,2019,28.25
Canada,2020,19.316666666666666
Canada,2021,20.816666666666666
Canada,2022,29.333333333333332
Canada,2023,32.38333333333333
Canada,2024,32.03333333333333
Canada,2025,29.28
Germany,2004,32.9
Germany,2005,31.833333333333332
Germany,2006,32.46666666666667
Germany,2007,31.45
Germany,2008,30.266666666666666
Germany,2009,30.683333333333334
Germany,2010,27.5
Germany,2011,32.449999999999996
Germany,2012,31.666666666666668
Germany,2013,30.46666666666667
Germany,2014,29.183333333333334
Germany,2015,31.8
Germany,2016,29.583333333333332
Germany,2017,30.96666666666667
Germany,2018,29.383333333333336
Germany,2019,31.883333333333336
Germany,2020,19.76666666666667
Germany,2021,19.383333333333333
Germany,2022,28.21666666666667
Germany,2023,32.199999999999996
Germany,2024,31.75
Germany,2025,29.2
Japan,2004,46.38333333333333
Japan,2005,43.06666666666666
Japan,2006,41.199999999999996
Japan,2007,43.56666666666666
Japan,2008,41.833333333333336
Japan,2009,42.516666666666666
Japan,2010,44.61666666666667
Japan,2011,45.416666666666664
Japan,2012,44.48333333333333
Japan,2013,41.666666666666664
Japan,2014,40.11666666666667
Japan,2015,40.166666666666664
Japan,2016,36.61666666666667
Japan,2017,36.733333333333334
Japan,2018,35.6
Japan,2019,38.6
Japan,2020,27.95
Japan,2021,28.46666666666667
Japan,2022,35.68333333333333
Japan,2023,37.0
Japan,2024,34.550000000000004
Japan,2025,35.480000000000004
Jordan,2004,6.566666666666666
Jordan,2005,7.266666666666667
Jordan,2006,6.933333333333334
Jordan,2007,8.616666666666667
Jordan,2008,9.316666666666666
Jordan,2009,9.35
Jordan,2010,8.75
Jordan,2011,7.383333333333333
Jordan,2012,6.7
Jordan,2013,6.783333333333334
Jordan,2014,7.233333333333333
Jordan,2015,8.066666666666666
Jordan,2016,9.950000000000001
Jordan,2017,9.950000000000001
Jordan,2018,10.083333333333334
Jordan,2019,10.316666666666666
Jordan,2020,10.216666666666667
Jordan,2021,11.433333333333332
Jordan,2022,14.75
Jordan,2023,16.333333333333332
Jordan,2024,17.099999999999998
Jordan,2025,16.759999999999998
Malaysia,2004,4.3
Malaysia,2005,4.75
Malaysia,2006,4.3
Malaysia,2007,4.116666666666666
Malaysia,2008,4.216666666666667
Malaysia,2009,5.883333333333333
